Name,ChrNr,Resolution,n,WN,WS,binNrStart,binNrEnd,START,END,S
G401_BR1,14,40000,253.0,759,2,404,743,16120000,29720000,3.3004223199441594
G401_BR1,14,40000,253.0,759,2,483,745,19280000,29800000,3.2966798044719647
G401_BR1,14,40000,253.0,759,2,494,747,19720000,29880000,3.3002098847291688
G401_BR1,14,40000,253.0,759,2,496,749,19800000,29960000,3.3067924118676726
G401_BR1,14,40000,253.0,759,2,498,751,19880000,30040000,3.315974503981299
G401_BR1,14,40000,253.0,759,2,500,753,19960000,30120000,3.3246710361281426
G401_BR1,14,40000,253.0,759,2,502,755,20040000,30200000,3.3381101054104
G401_BR1,14,40000,253.0,759,2,504,757,20120000,30280000,3.3513348008211103
G401_BR1,14,40000,253.0,759,2,506,759,20200000,30360000,3.3555356664092284
G401_BR1,14,40000,253.0,759,2,508,761,20280000,30440000,3.3645172750416874
G401_BR1,14,40000,253.0,759,2,510,763,20360000,30520000,3.3727090777845112
G401_BR1,14,40000,253.0,759,2,512,765,20440000,30600000,3.3746827545656597
G401_BR1,14,40000,253.0,759,2,514,767,20520000,30680000,3.3801250389017286
G401_BR1,14,40000,253.0,759,2,516,769,20600000,30760000,3.389096281700973
G401_BR1,14,40000,253.0,759,2,518,771,20680000,30840000,3.398255816082403
G401_BR1,14,40000,253.0,759,2,520,773,20760000,30920000,3.4069114633488944
G401_BR1,14,40000,253.0,759,2,522,775,20840000,31000000,3.413621218253322
G401_BR1,14,40000,253.0,759,2,525,778,20960000,31120000,3.418612162116421
G401_BR1,14,40000,253.0,759,2,527,780,21040000,31200000,3.4220997296266207
G401_BR1,14,40000,253.0,759,2,529,782,21120000,31280000,3.4278670763129706
G401_BR1,14,40000,253.0,759,2,531,784,21200000,31360000,3.4320583564897977
G401_BR1,14,40000,253.0,759,2,533,786,21280000,31440000,3.4411037734611165
G401_BR1,14,40000,253.0,759,2,535,788,21360000,31520000,3.447900838258918
G401_BR1,14,40000,253.0,759,2,537,790,21440000,31600000,3.450808692216797
G401_BR1,14,40000,253.0,759,2,539,792,21520000,31680000,3.4528992386798376
G401_BR1,14,40000,253.0,759,2,541,794,21600000,31760000,3.453901841056386
G401_BR1,14,40000,253.0,759,2,543,796,21680000,31840000,3.456164959905053
G401_BR1,14,40000,253.0,759,2,545,798,21760000,31920000,3.4554213057206153
G401_BR1,14,40000,253.0,759,2,547,800,21840000,32000000,3.4584587051508566
G401_BR1,14,40000,253.0,759,2,549,802,21920000,32080000,3.4592988825973694
G401_BR1,14,40000,253.0,759,2,551,804,22000000,32160000,3.459616711697244
G401_BR1,14,40000,253.0,759,2,553,806,22080000,32240000,3.4581621279106627
G401_BR1,14,40000,253.0,759,2,555,808,22160000,32320000,3.453715423568636
G401_BR1,14,40000,253.0,759,2,557,810,22240000,32400000,3.447101806190914
G401_BR1,14,40000,253.0,759,2,559,812,22320000,32480000,3.444973866830991
G401_BR1,14,40000,253.0,759,2,561,814,22400000,32560000,3.435270378828423
G401_BR1,14,40000,253.0,759,2,563,816,22480000,32640000,3.426660208202708
G401_BR1,14,40000,253.0,759,2,565,818,22560000,32720000,3.413135725515688
G401_BR1,14,40000,253.0,759,2,567,820,22640000,32800000,3.4071339373962948
G401_BR1,14,40000,253.0,759,2,569,822,22720000,32880000,3.4000240018757517
G401_BR1,14,40000,253.0,759,2,571,824,22800000,32960000,3.3941853201039915
G401_BR1,14,40000,253.0,759,2,573,826,22880000,33040000,3.3861198879325807
G401_BR1,14,40000,253.0,759,2,575,828,22960000,33120000,3.377949547696867
G401_BR1,14,40000,253.0,759,2,577,830,23040000,33200000,3.37198954602362
G401_BR1,14,40000,253.0,759,2,579,832,23120000,33280000,3.3646369344876166
G401_BR1,14,40000,253.0,759,2,581,834,23200000,33360000,3.3631788420609916
G401_BR1,14,40000,253.0,759,2,583,836,23280000,33440000,3.3608292752836513
G401_BR1,14,40000,253.0,759,2,585,838,23360000,33520000,3.357159012368396
G401_BR1,14,40000,253.0,759,2,587,840,23440000,33600000,3.3564279999527384
G401_BR1,14,40000,253.0,759,2,589,842,23520000,33680000,3.360143851490445
G401_BR1,14,40000,253.0,759,2,591,844,23600000,33760000,3.367497018213479
G401_BR1,14,40000,253.0,759,2,593,846,23680000,33840000,3.3669636171100947
G401_BR1,14,40000,253.0,759,2,595,848,23760000,33920000,3.366109542580713
G401_BR1,14,40000,253.0,759,2,597,850,23840000,34000000,3.3640543761028856
G401_BR1,14,40000,253.0,759,2,599,852,23920000,34080000,3.3574691011929767
G401_BR1,14,40000,253.0,759,2,601,854,24000000,34160000,3.3468397330526902
G401_BR1,14,40000,253.0,759,2,603,856,24080000,34240000,3.33471223971327
G401_BR1,14,40000,253.0,759,2,605,858,24160000,34320000,3.318601119165208
G401_BR1,14,40000,253.0,759,2,607,861,24240000,34440000,3.3117818289166134
G401_BR1,14,40000,253.0,759,2,609,864,24320000,34560000,3.299380807977674
G401_BR1,14,40000,253.0,759,2,611,867,24400000,34680000,3.2881356461769764
G401_BR1,14,40000,253.0,759,2,613,870,24480000,34800000,3.278622235364311
G401_BR1,14,40000,253.0,759,2,615,872,24560000,34880000,3.2716157837031044
G401_BR1,14,40000,253.0,759,2,617,874,24640000,34960000,3.267927589866071
G401_BR1,14,40000,253.0,759,2,619,877,24720000,35080000,3.2665309207604603
G401_BR1,14,40000,253.0,759,2,621,879,24800000,35160000,3.264552913593772
G401_BR1,14,40000,253.0,759,2,623,881,24880000,35240000,3.2609716622436955
G401_BR1,14,40000,253.0,759,2,625,883,24960000,35320000,3.2502959300831913
G401_BR1,14,40000,253.0,759,2,627,886,25040000,35440000,3.2447874884313954
G401_BR1,14,40000,253.0,759,2,629,888,25120000,35520000,3.242112242768464
G401_BR1,14,40000,253.0,759,2,631,890,25200000,35600000,3.2282867960797708
G401_BR1,14,40000,253.0,759,2,633,892,25280000,35680000,3.214544674489039
G401_BR1,14,40000,253.0,759,2,635,894,25360000,35760000,3.198630830286904
G401_BR1,14,40000,253.0,759,2,637,896,25440000,35840000,3.181922097245585
G401_BR1,14,40000,253.0,759,2,639,898,25520000,35920000,3.16569569875082
G401_BR1,14,40000,253.0,759,2,641,900,25600000,36000000,3.149674163854439
G401_BR1,14,40000,253.0,759,2,643,902,25680000,36080000,3.139531056390411
G401_BR1,14,40000,253.0,759,2,645,904,25760000,36160000,3.1298606000287137
G401_BR1,14,40000,253.0,759,2,647,906,25840000,36240000,3.1183506097867717
G401_BR1,14,40000,253.0,759,2,649,908,25920000,36320000,3.107929478122085
G401_BR1,14,40000,253.0,759,2,651,910,26000000,36400000,3.110037610216804
G401_BR1,14,40000,253.0,759,2,653,912,26080000,36480000,3.102571017923265
G401_BR1,14,40000,253.0,759,2,655,914,26160000,36560000,3.092344457578114
G401_BR1,14,40000,253.0,759,2,657,916,26240000,36640000,3.090472570555868
G401_BR1,14,40000,253.0,759,2,659,918,26320000,36720000,3.08549136846714
G401_BR1,14,40000,253.0,759,2,661,920,26400000,36800000,3.0776347165838884
G401_BR1,14,40000,253.0,759,2,663,922,26480000,36880000,3.071791868333848
G401_BR1,14,40000,253.0,759,2,665,924,26560000,36960000,3.0702836105466944
G401_BR1,14,40000,253.0,759,2,667,926,26640000,37040000,3.0645372516503047
G401_BR1,14,40000,253.0,759,2,669,928,26720000,37120000,3.050905892472162
G401_BR1,14,40000,253.0,759,2,671,930,26800000,37200000,3.0353722485316075
G401_BR1,14,40000,253.0,759,2,673,932,26880000,37280000,3.0287470888853583
G401_BR1,14,40000,253.0,759,2,675,934,26960000,37360000,3.01171257674221
G401_BR1,14,40000,253.0,759,2,677,936,27040000,37440000,2.99589440126638
G401_BR1,14,40000,253.0,759,2,679,938,27120000,37520000,2.992958225276666
G401_BR1,14,40000,253.0,759,2,681,940,27200000,37600000,2.985308161139177
G401_BR1,14,40000,253.0,759,2,683,942,27280000,37680000,2.9791089821403665
G401_BR1,14,40000,253.0,759,2,685,944,27360000,37760000,2.974820224021263
G401_BR1,14,40000,253.0,759,2,687,946,27440000,37840000,2.9595921356893187
G401_BR1,14,40000,253.0,759,2,689,948,27520000,37920000,2.9554999298688966
G401_BR1,14,40000,253.0,759,2,691,950,27600000,38000000,2.9363945835901824
G401_BR1,14,40000,253.0,759,2,693,952,27680000,38080000,2.9286871056207566
G401_BR1,14,40000,253.0,759,2,695,954,27760000,38160000,2.916004321303702
G401_BR1,14,40000,253.0,759,2,697,956,27840000,38240000,2.900702349325927
G401_BR1,14,40000,253.0,759,2,699,958,27920000,38320000,2.8889004581164754
G401_BR1,14,40000,253.0,759,2,701,960,28000000,38400000,2.8712403547344
G401_BR1,14,40000,253.0,759,2,703,962,28080000,38480000,2.854937595717839
G401_BR1,14,40000,253.0,759,2,705,964,28160000,38560000,2.845412150482461
G401_BR1,14,40000,253.0,759,2,707,966,28240000,38640000,2.8368613596977843
G401_BR1,14,40000,253.0,759,2,709,968,28320000,38720000,2.828046720326108
G401_BR1,14,40000,253.0,759,2,711,970,28400000,38800000,2.8171160792107264
G401_BR1,14,40000,253.0,759,2,713,972,28480000,38880000,2.8096011273887473
G401_BR1,14,40000,253.0,759,2,715,974,28560000,38960000,2.8012206372357755
G401_BR1,14,40000,253.0,759,2,717,976,28640000,39040000,2.7919426532051874
G401_BR1,14,40000,253.0,759,2,719,978,28720000,39120000,2.7805351394592415
G401_BR1,14,40000,253.0,759,2,721,980,28800000,39200000,2.773273927174432
G401_BR1,14,40000,253.0,759,2,723,982,28880000,39280000,2.770812900803833
G401_BR1,14,40000,253.0,759,2,725,984,28960000,39360000,2.766384063793836
G401_BR1,14,40000,253.0,759,2,727,986,29040000,39440000,2.7554511525137433
G401_BR1,14,40000,253.0,759,2,729,988,29120000,39520000,2.7501029465458515
G401_BR1,14,40000,253.0,759,2,731,990,29200000,39600000,2.7366742863880003
