Resolution,ChrNr,Sample1,Sample2,Q
40000,15,G401_BR1,G401_BR2,0.9883795464939455
40000,15,G401_BR1,A549_BR1,0.5578973727056304
40000,15,G401_BR1,A549_BR2,0.5513908887220413
40000,15,G401_BR1,LNCap_BR1,0.8141561840853893
40000,15,G401_BR1,LNCap_BR2,0.5923596377738359
40000,15,G401_BR1,HFFc6_BR1,0.7362382620394192
40000,15,G401_BR1,HFFc6_BR2,0.8347806422119279
40000,15,G401_BR1,HFFc6_BR3,0.815681474748002
40000,15,G401_BR1,H1-hESC_BR1,0.7997004105563855
40000,15,G401_BR1,H1-hESC_BR2,0.8259466395993956
40000,15,G401_BR2,A549_BR1,0.5934132130663137
40000,15,G401_BR2,A549_BR2,0.5864824149027372
40000,15,G401_BR2,LNCap_BR1,0.8302356130806359
40000,15,G401_BR2,LNCap_BR2,0.5677417500121296
40000,15,G401_BR2,HFFc6_BR1,0.7599744820416529
40000,15,G401_BR2,HFFc6_BR2,0.8482177294691724
40000,15,G401_BR2,HFFc6_BR3,0.8509085712148217
40000,15,G401_BR2,H1-hESC_BR1,0.8428576793782421
40000,15,G401_BR2,H1-hESC_BR2,0.8646853677016445
40000,15,A549_BR1,A549_BR2,0.9909941891174798
40000,15,A549_BR1,LNCap_BR1,0.6906530277470335
40000,15,A549_BR1,LNCap_BR2,0.5352873598728193
40000,15,A549_BR1,HFFc6_BR1,0.3852802908958155
40000,15,A549_BR1,HFFc6_BR2,0.4433827975215727
40000,15,A549_BR1,HFFc6_BR3,0.46474596906276905
40000,15,A549_BR1,H1-hESC_BR1,0.46107527107884566
40000,15,A549_BR1,H1-hESC_BR2,0.42821704029965907
40000,15,A549_BR2,LNCap_BR1,0.693960800018016
40000,15,A549_BR2,LNCap_BR2,0.5403277593190362
40000,15,A549_BR2,HFFc6_BR1,0.38094690975900436
40000,15,A549_BR2,HFFc6_BR2,0.424151561270565
40000,15,A549_BR2,HFFc6_BR3,0.450575264371893
40000,15,A549_BR2,H1-hESC_BR1,0.4568027280864135
40000,15,A549_BR2,H1-hESC_BR2,0.42088725468306526
40000,15,LNCap_BR1,LNCap_BR2,0.8465251819368064
40000,15,LNCap_BR1,HFFc6_BR1,0.6689799827917737
40000,15,LNCap_BR1,HFFc6_BR2,0.7218861856189024
40000,15,LNCap_BR1,HFFc6_BR3,0.7593804841738389
