Sample1,Sample2,Q
G401_BR1,G401_BR2,0.9857697992277773
G401_BR1,A549_BR1,0.5316908104484117
G401_BR1,A549_BR2,0.5690538299569652
G401_BR1,LNCap_BR1,0.32451874973835265
G401_BR1,LNCap_BR2,0.3884151397961597
G401_BR1,HFFc6_BR1,0.36555878156618415
G401_BR1,HFFc6_BR2,0.5714385203804349
G401_BR1,HFFc6_BR3,0.28834595837074734
G401_BR1,H1-hESC_BR1,0.31997619311992137
G401_BR1,H1-hESC_BR2,0.36923537742196133
G401_BR2,A549_BR1,0.44889828049194685
G401_BR2,A549_BR2,0.5043247606115339
G401_BR2,LNCap_BR1,0.3526223192765974
G401_BR2,LNCap_BR2,0.4203981413256165
G401_BR2,HFFc6_BR1,0.4374243279653887
G401_BR2,HFFc6_BR2,0.5889868344515424
G401_BR2,HFFc6_BR3,0.38186653578337204
G401_BR2,H1-hESC_BR1,0.3422826177701308
G401_BR2,H1-hESC_BR2,0.4062861231615411
A549_BR1,A549_BR2,0.9760147217374743
A549_BR1,LNCap_BR1,0.4284136170458838
A549_BR1,LNCap_BR2,0.4116430034212364
A549_BR1,HFFc6_BR1,0.012073991698412653
A549_BR1,HFFc6_BR2,0.3354759355586877
A549_BR1,HFFc6_BR3,-0.07789270359302732
A549_BR1,H1-hESC_BR1,0.14998609027351503
A549_BR1,H1-hESC_BR2,0.11101371839187774
A549_BR2,LNCap_BR1,0.5804462627679527
A549_BR2,LNCap_BR2,0.569976266452236
A549_BR2,HFFc6_BR1,-0.02039652563116123
A549_BR2,HFFc6_BR2,0.26652321870905504
A549_BR2,HFFc6_BR3,-0.10121841890430926
A549_BR2,H1-hESC_BR1,0.13025551839226573
A549_BR2,H1-hESC_BR2,0.10838009220347933
LNCap_BR1,LNCap_BR2,0.957609135996254
LNCap_BR1,HFFc6_BR1,-0.12235188430102856
LNCap_BR1,HFFc6_BR2,-0.03537715119776647
LNCap_BR1,HFFc6_BR3,-0.11158582226476191
LNCap_BR1,H1-hESC_BR1,0.08425779267452056
LNCap_BR1,H1-hESC_BR2,0.10709978488625664
LNCap_BR2,HFFc6_BR1,-0.11004200808140834
LNCap_BR2,HFFc6_BR2,-0.043693216242848304
LNCap_BR2,HFFc6_BR3,-0.09240420209816672
LNCap_BR2,H1-hESC_BR1,0.12030264872551438
LNCap_BR2,H1-hESC_BR2,0.14149583730109463
HFFc6_BR1,HFFc6_BR2,0.812497398562502
HFFc6_BR1,HFFc6_BR3,0.9696358519494472
HFFc6_BR1,H1-hESC_BR1,0.6657842620165404
HFFc6_BR1,H1-hESC_BR2,0.722227681568946
HFFc6_BR2,HFFc6_BR3,0.7485911090566414
HFFc6_BR2,H1-hESC_BR1,0.6385203135250822
HFFc6_BR2,H1-hESC_BR2,0.6362481001145417
HFFc6_BR3,H1-hESC_BR1,0.5975287755720637
HFFc6_BR3,H1-hESC_BR2,0.6583216330417422
H1-hESC_BR1,H1-hESC_BR2,0.9837483390277144
