Name,ChrNr,Resolution,n,PHI,phi,binNrStart,binNrEnd,START,END,S
G401_BR1,X,40000,377.0,849,4,1,385,0,15400000,3.7484813932777983
G401_BR1,X,40000,377.0,849,4,8,389,280000,15560000,3.7426119515473175
G401_BR1,X,40000,377.0,849,4,12,393,440000,15720000,3.745020436902489
G401_BR1,X,40000,377.0,849,4,16,397,600000,15880000,3.754626019359715
G401_BR1,X,40000,377.0,849,4,20,401,760000,16040000,3.7650654389343887
G401_BR1,X,40000,377.0,849,4,24,405,920000,16200000,3.767461461715181
G401_BR1,X,40000,377.0,849,4,28,409,1080000,16360000,3.7653436978544037
G401_BR1,X,40000,377.0,849,4,32,413,1240000,16520000,3.763567540301996
G401_BR1,X,40000,377.0,849,4,36,417,1400000,16680000,3.761335865087606
G401_BR1,X,40000,377.0,849,4,40,421,1560000,16840000,3.7616627769456974
G401_BR1,X,40000,377.0,849,4,44,425,1720000,17000000,3.7791244864620475
G401_BR1,X,40000,377.0,849,4,48,429,1880000,17160000,3.7930950525226392
G401_BR1,X,40000,377.0,849,4,56,433,2200000,17320000,3.805581603093476
G401_BR1,X,40000,377.0,849,4,60,437,2360000,17480000,3.8135418858658374
G401_BR1,X,40000,377.0,849,4,64,441,2520000,17640000,3.816745342851236
G401_BR1,X,40000,377.0,849,4,68,445,2680000,17800000,3.817397074779132
G401_BR1,X,40000,377.0,849,4,72,449,2840000,17960000,3.8102696278694155
G401_BR1,X,40000,377.0,849,4,76,453,3000000,18120000,3.8070320741816586
G401_BR1,X,40000,377.0,849,4,80,457,3160000,18280000,3.8007339369074566
G401_BR1,X,40000,377.0,849,4,84,461,3320000,18440000,3.7998310495455545
G401_BR1,X,40000,377.0,849,4,88,465,3480000,18600000,3.7970965297952874
G401_BR1,X,40000,377.0,849,4,92,469,3640000,18760000,3.7880506180545623
G401_BR1,X,40000,377.0,849,4,96,473,3800000,18920000,3.772860523624946
G401_BR1,X,40000,377.0,849,4,101,477,4000000,19080000,3.7585384685342644
G401_BR1,X,40000,377.0,849,4,105,481,4160000,19240000,3.759509009513012
G401_BR1,X,40000,377.0,849,4,109,485,4320000,19400000,3.754916340588537
G401_BR1,X,40000,377.0,849,4,113,489,4480000,19560000,3.7651052520956108
G401_BR1,X,40000,377.0,849,4,117,493,4640000,19720000,3.7803342699585785
G401_BR1,X,40000,377.0,849,4,121,497,4800000,19880000,3.794046164917913
G401_BR1,X,40000,377.0,849,4,125,501,4960000,20040000,3.795161650868007
G401_BR1,X,40000,377.0,849,4,129,505,5120000,20200000,3.8019513492931623
G401_BR1,X,40000,377.0,849,4,133,509,5280000,20360000,3.8135686654051204
G401_BR1,X,40000,377.0,849,4,137,513,5440000,20520000,3.823785622338373
G401_BR1,X,40000,377.0,849,4,141,517,5600000,20680000,3.837672189177947
G401_BR1,X,40000,377.0,849,4,145,521,5760000,20840000,3.8495411009518867
G401_BR1,X,40000,377.0,849,4,149,525,5920000,21000000,3.8573765241272193
G401_BR1,X,40000,377.0,849,4,153,529,6080000,21160000,3.8658057206661245
G401_BR1,X,40000,377.0,849,4,157,533,6240000,21320000,3.865285305413355
G401_BR1,X,40000,377.0,849,4,161,537,6400000,21480000,3.863788117162893
G401_BR1,X,40000,377.0,849,4,165,541,6560000,21640000,3.8704307659164714
G401_BR1,X,40000,377.0,849,4,169,545,6720000,21800000,3.881614019567466
G401_BR1,X,40000,377.0,849,4,173,549,6880000,21960000,3.8932135572612734
G401_BR1,X,40000,377.0,849,4,177,553,7040000,22120000,3.90448046471954
G401_BR1,X,40000,377.0,849,4,181,557,7200000,22280000,3.904842105438797
G401_BR1,X,40000,377.0,849,4,185,561,7360000,22440000,3.906723947195808
G401_BR1,X,40000,377.0,849,4,189,565,7520000,22600000,3.910316233128823
G401_BR1,X,40000,377.0,849,4,193,569,7680000,22760000,3.904810776667354
G401_BR1,X,40000,377.0,849,4,197,573,7840000,22920000,3.8995398327933466
G401_BR1,X,40000,377.0,849,4,201,577,8000000,23080000,3.8972886744895376
G401_BR1,X,40000,377.0,849,4,205,581,8160000,23240000,3.901270980285494
G401_BR1,X,40000,377.0,849,4,209,585,8320000,23400000,3.892817270126681
G401_BR1,X,40000,377.0,849,4,213,589,8480000,23560000,3.8823538782014104
G401_BR1,X,40000,377.0,849,4,217,593,8640000,23720000,3.8764022540730876
G401_BR1,X,40000,377.0,849,4,221,597,8800000,23880000,3.8836955263056874
G401_BR1,X,40000,377.0,849,4,225,601,8960000,24040000,3.8912226410070745
G401_BR1,X,40000,377.0,849,4,229,605,9120000,24200000,3.8997171965432216
G401_BR1,X,40000,377.0,849,4,233,609,9280000,24360000,3.899634398870203
G401_BR1,X,40000,377.0,849,4,237,613,9440000,24520000,3.900059631418699
G401_BR1,X,40000,377.0,849,4,241,617,9600000,24680000,3.892155838581577
G401_BR1,X,40000,377.0,849,4,245,621,9760000,24840000,3.887010731287205
G401_BR1,X,40000,377.0,849,4,249,625,9920000,25000000,3.881452453528481
G401_BR1,X,40000,377.0,849,4,253,629,10080000,25160000,3.8745046720522827
G401_BR1,X,40000,377.0,849,4,257,633,10240000,25320000,3.8786496681866542
G401_BR1,X,40000,377.0,849,4,261,637,10400000,25480000,3.888126270370112
G401_BR1,X,40000,377.0,849,4,265,641,10560000,25640000,3.8987778073734676
G401_BR1,X,40000,377.0,849,4,269,645,10720000,25800000,3.900841354080291
G401_BR1,X,40000,377.0,849,4,273,649,10880000,25960000,3.9044522944129856
G401_BR1,X,40000,377.0,849,4,277,653,11040000,26120000,3.898735229906285
G401_BR1,X,40000,377.0,849,4,281,657,11200000,26280000,3.8956527687572713
G401_BR1,X,40000,377.0,849,4,285,661,11360000,26440000,3.8924845289637355
G401_BR1,X,40000,377.0,849,4,289,665,11520000,26600000,3.8867345548286503
G401_BR1,X,40000,377.0,849,4,293,669,11680000,26760000,3.8833820051174586
G401_BR1,X,40000,377.0,849,4,297,673,11840000,26920000,3.8821295919028884
G401_BR1,X,40000,377.0,849,4,301,677,12000000,27080000,3.879051622111287
G401_BR1,X,40000,377.0,849,4,305,681,12160000,27240000,3.8736720084093106
G401_BR1,X,40000,377.0,849,4,309,685,12320000,27400000,3.868388590189297
