Resolution,ChrNr,Sample1,Sample2,Q
40000,21,G401,A549,0.690787395507577
40000,21,G401,LNCap,0.6716753809745246
40000,21,G401,HFFc6,0.6467361796687223
40000,21,G401,H1-hESC,0.6496195970704329
40000,21,A549,LNCap,0.5847291727978359
40000,21,A549,HFFc6,0.6197060204448106
40000,21,A549,H1-hESC,0.5544668498135904
40000,21,LNCap,HFFc6,0.6016430707617936
40000,21,LNCap,H1-hESC,0.8663620697198977
40000,21,HFFc6,H1-hESC,0.6779384166410227
40000,22,G401,A549,0.844077524391389
40000,22,G401,LNCap,0.7206147568470137
40000,22,G401,HFFc6,0.8502567772603118
40000,22,G401,H1-hESC,0.8810958896440295
40000,22,A549,LNCap,0.8233038823926095
40000,22,A549,HFFc6,0.8797194269302097
40000,22,A549,H1-hESC,0.8540525166486349
40000,22,LNCap,HFFc6,0.6305495965833572
40000,22,LNCap,H1-hESC,0.7280683581924239
40000,22,HFFc6,H1-hESC,0.8517182742300669
100000,21,G401,A549,0.7674896611033241
100000,21,G401,LNCap,0.7484705207150046
100000,21,G401,HFFc6,0.6642642955087155
100000,21,G401,H1-hESC,0.7144604682858814
100000,21,A549,LNCap,0.6661936881732851
100000,21,A549,HFFc6,0.6003443181177227
100000,21,A549,H1-hESC,0.6157373415960057
100000,21,LNCap,HFFc6,0.6354389583289463
100000,21,LNCap,H1-hESC,0.8665831482826404
100000,21,HFFc6,H1-hESC,0.73339036202318
100000,22,G401,A549,0.9345320332624573
100000,22,G401,LNCap,0.8800820493291177
100000,22,G401,HFFc6,0.422983202475725
100000,22,G401,H1-hESC,0.6406296702296851
100000,22,A549,LNCap,0.9352837108536187
100000,22,A549,HFFc6,0.438042158266009
100000,22,A549,H1-hESC,0.6888207730933085
100000,22,LNCap,HFFc6,0.26945494944863807
100000,22,LNCap,H1-hESC,0.6223277481514834
100000,22,HFFc6,H1-hESC,0.7175433186123167
