Resolution,ChrNr,Sample1,Sample2,Q
40000,20,G401,A549,0.7569965104540647
40000,20,G401,LNCap,0.4680594585320302
40000,20,G401,HFFc6,0.7643310048109232
40000,20,G401,H1-hESC,0.5182069201687083
40000,20,A549,LNCap,0.5599142401957123
40000,20,A549,HFFc6,0.6805587895028077
40000,20,A549,H1-hESC,0.6645577844118449
40000,20,LNCap,HFFc6,0.43297298854752436
40000,20,LNCap,H1-hESC,0.6195999112872063
40000,20,HFFc6,H1-hESC,0.6551502922459854
40000,21,G401,A549,0.6708183454005493
40000,21,G401,LNCap,0.6441134378403017
40000,21,G401,HFFc6,0.5152994805183255
40000,21,G401,H1-hESC,0.5943798829673629
40000,21,A549,LNCap,0.5496842862773738
40000,21,A549,HFFc6,0.5237943545286108
40000,21,A549,H1-hESC,0.6638906357470378
40000,21,LNCap,HFFc6,0.5498624868390429
40000,21,LNCap,H1-hESC,0.8205516702624719
40000,21,HFFc6,H1-hESC,0.5922321612601723
40000,22,G401,A549,0.7036787505371077
40000,22,G401,LNCap,0.5685414867633128
40000,22,G401,HFFc6,0.735754498053914
40000,22,G401,H1-hESC,0.6934068140926166
40000,22,A549,LNCap,0.7900757205777094
40000,22,A549,HFFc6,0.760542046123221
40000,22,A549,H1-hESC,0.8114436785637231
40000,22,LNCap,HFFc6,0.4244566906283754
40000,22,LNCap,H1-hESC,0.604611186260303
40000,22,HFFc6,H1-hESC,0.7345803157187675
100000,20,G401,A549,0.7259779552745922
100000,20,G401,LNCap,0.5451260876865189
100000,20,G401,HFFc6,0.7323746722221495
100000,20,G401,H1-hESC,0.5483856294834225
100000,20,A549,LNCap,0.6687531993956243
100000,20,A549,HFFc6,0.6446973375826445
100000,20,A549,H1-hESC,0.6334299384505787
100000,20,LNCap,HFFc6,0.3989963716575294
100000,20,LNCap,H1-hESC,0.5644901466572625
100000,20,HFFc6,H1-hESC,0.7026029622603852
100000,21,G401,A549,0.7250015057103972
100000,21,G401,LNCap,0.651641587071669
100000,21,G401,HFFc6,0.5472111673433253
100000,21,G401,H1-hESC,0.5979388996028204
100000,21,A549,LNCap,0.6072959541956277
100000,21,A549,HFFc6,0.5548548868307838
100000,21,A549,H1-hESC,0.6483797810527712
100000,21,LNCap,HFFc6,0.4893491982952831
100000,21,LNCap,H1-hESC,0.7256887503536303
100000,21,HFFc6,H1-hESC,0.5943111547448722
100000,22,G401,A549,0.7398773697244811
100000,22,G401,LNCap,0.6340124942816069
100000,22,G401,HFFc6,0.658458592959808
100000,22,G401,H1-hESC,0.6916089435659771
100000,22,A549,LNCap,0.7763288574846
100000,22,A549,HFFc6,0.7859786713302491
100000,22,A549,H1-hESC,0.8205889916176412
100000,22,LNCap,HFFc6,0.40483196526626297
100000,22,LNCap,H1-hESC,0.5889545688178723
100000,22,HFFc6,H1-hESC,0.7263833445286342
