Resolution	ChrNr	Sample1	Sample2	Q
40000	15	A549_BR1	A549_BR2	0.991055440056682
40000	15	A549_BR1	G401_BR1	0.558213759737198
40000	15	A549_BR1	G401_BR2	0.593612526651996
40000	15	A549_BR1	H1-hESC_BR1	0.460846281786364
40000	15	A549_BR1	H1-hESC_BR2	0.427714911178159
40000	15	A549_BR1	HFFc6_BR1	0.385728381664089
40000	15	A549_BR1	HFFc6_BR2	0.442790113685038
40000	15	A549_BR1	HFFc6_BR3	0.464964583221953
40000	15	A549_BR1	LNCap_BR1	0.690684015545094
40000	15	A549_BR1	LNCap_BR2	0.534831271311742
40000	15	A549_BR2	G401_BR1	0.551506558162599
40000	15	A549_BR2	G401_BR2	0.586399999897502
40000	15	A549_BR2	H1-hESC_BR1	0.456144896440851
40000	15	A549_BR2	H1-hESC_BR2	0.419913897187645
40000	15	A549_BR2	HFFc6_BR1	0.381143541440152
40000	15	A549_BR2	HFFc6_BR2	0.423387665890718
40000	15	A549_BR2	HFFc6_BR3	0.450510517777668
40000	15	A549_BR2	LNCap_BR1	0.693851542328825
40000	15	A549_BR2	LNCap_BR2	0.540127502663836
40000	15	G401_BR1	G401_BR2	0.988477169613701
40000	15	G401_BR1	H1-hESC_BR1	0.799738341689689
40000	15	G401_BR1	H1-hESC_BR2	0.826009372923192
40000	15	G401_BR1	HFFc6_BR1	0.736207850548699
40000	15	G401_BR1	HFFc6_BR2	0.834791502193904
40000	15	G401_BR1	HFFc6_BR3	0.816014591971952
40000	15	G401_BR1	LNCap_BR1	0.813951492461509
40000	15	G401_BR1	LNCap_BR2	0.591468378306689
40000	15	G401_BR2	H1-hESC_BR1	0.842704425339204
40000	15	G401_BR2	H1-hESC_BR2	0.864483514365469
40000	15	G401_BR2	HFFc6_BR1	0.76012421984246
40000	15	G401_BR2	HFFc6_BR2	0.848228482366648
40000	15	G401_BR2	HFFc6_BR3	0.851218761063498
40000	15	G401_BR2	LNCap_BR1	0.830067630695761
40000	15	G401_BR2	LNCap_BR2	0.566993263133151
40000	15	H1-hESC_BR1	H1-hESC_BR2	0.984578051653983
40000	15	H1-hESC_BR1	HFFc6_BR1	0.827471015701751
40000	15	H1-hESC_BR1	HFFc6_BR2	0.82325051284874
