Resolution	ChrNr	Sample1	Sample2	Q
40000	21	A549_BR1	A549_BR2	0.991197065081323
40000	21	A549_BR1	G401_BR1	0.751864022978993
40000	21	A549_BR1	G401_BR2	0.723989900695915
40000	21	A549_BR2	G401_BR1	0.742524191516359
40000	21	A549_BR2	G401_BR2	0.720706277864362
40000	21	G401_BR1	G401_BR2	0.985640552320753
40000	22	A549_BR1	A549_BR2	0.992503256852266
40000	22	A549_BR1	G401_BR1	0.902421980350428
40000	22	A549_BR1	G401_BR2	0.907289107987078
40000	22	A549_BR2	G401_BR1	0.89203457080406
40000	22	A549_BR2	G401_BR2	0.89933797788839
40000	22	G401_BR1	G401_BR2	0.993983943552907
