Name	ChrNr	Resolution	n	PHI	phi	binNrStart	binNrEND	START	END	S
G401_BR1	X	40000	377	849	4	1	385	0	15400000	3.7484813932778
G401_BR1	X	40000	377	849	4	8	389	280000	15560000	3.74261195154732
G401_BR1	X	40000	377	849	4	12	393	440000	15720000	3.74502043690249
G401_BR1	X	40000	377	849	4	16	397	600000	15880000	3.75462601935972
G401_BR1	X	40000	377	849	4	20	401	760000	16040000	3.76506543893439
G401_BR1	X	40000	377	849	4	24	405	920000	16200000	3.76746146171518
G401_BR1	X	40000	377	849	4	28	409	1080000	16360000	3.7653436978544
G401_BR1	X	40000	377	849	4	32	413	1240000	16520000	3.76356754030199
G401_BR1	X	40000	377	849	4	36	417	1400000	16680000	3.76133586508761
G401_BR1	X	40000	377	849	4	40	421	1560000	16840000	3.7616627769457
G401_BR1	X	40000	377	849	4	44	425	1720000	17000000	3.77912448646205
G401_BR1	X	40000	377	849	4	48	429	1880000	17160000	3.79309505252264
G401_BR1	X	40000	377	849	4	56	433	2200000	17320000	3.80558160309348
G401_BR1	X	40000	377	849	4	60	437	2360000	17480000	3.81354188586584
G401_BR1	X	40000	377	849	4	64	441	2520000	17640000	3.81674534285123
G401_BR1	X	40000	377	849	4	68	445	2680000	17800000	3.81739707477913
G401_BR1	X	40000	377	849	4	72	449	2840000	17960000	3.81026962786942
G401_BR1	X	40000	377	849	4	76	453	3000000	18120000	3.80703207418166
G401_BR1	X	40000	377	849	4	80	457	3160000	18280000	3.80073393690746
G401_BR1	X	40000	377	849	4	84	461	3320000	18440000	3.79983104954555
G401_BR1	X	40000	377	849	4	88	465	3480000	18600000	3.79709652979529
G401_BR1	X	40000	377	849	4	92	469	3640000	18760000	3.78805061805456
G401_BR1	X	40000	377	849	4	96	473	3800000	18920000	3.77286052362495
G401_BR1	X	40000	377	849	4	101	477	4000000	19080000	3.75853846853427
G401_BR1	X	40000	377	849	4	105	481	4160000	19240000	3.75950900951301
G401_BR1	X	40000	377	849	4	109	485	4320000	19400000	3.75491634058854
G401_BR1	X	40000	377	849	4	113	489	4480000	19560000	3.76510525209561
G401_BR1	X	40000	377	849	4	117	493	4640000	19720000	3.78033426995858
G401_BR1	X	40000	377	849	4	121	497	4800000	19880000	3.79404616491791
G401_BR1	X	40000	377	849	4	125	501	4960000	20040000	3.79516165086801
G401_BR1	X	40000	377	849	4	129	505	5120000	20200000	3.80195134929316
G401_BR1	X	40000	377	849	4	133	509	5280000	20360000	3.81356866540512
G401_BR1	X	40000	377	849	4	137	513	5440000	20520000	3.82378562233837
G401_BR1	X	40000	377	849	4	141	517	5600000	20680000	3.83767218917795
G401_BR1	X	40000	377	849	4	145	521	5760000	20840000	3.84954110095189
G401_BR1	X	40000	377	849	4	149	525	5920000	21000000	3.85737652412722
G401_BR1	X	40000	377	849	4	153	529	6080000	21160000	3.86580572066612
G401_BR1	X	40000	377	849	4	157	533	6240000	21320000	3.86528530541335
G401_BR1	X	40000	377	849	4	161	537	6400000	21480000	3.86378811716289
G401_BR1	X	40000	377	849	4	165	541	6560000	21640000	3.87043076591647
G401_BR1	X	40000	377	849	4	169	545	6720000	21800000	3.88161401956747
G401_BR1	X	40000	377	849	4	173	549	6880000	21960000	3.89321355726127
G401_BR1	X	40000	377	849	4	177	553	7040000	22120000	3.90448046471954
G401_BR1	X	40000	377	849	4	181	557	7200000	22280000	3.9048421054388
G401_BR1	X	40000	377	849	4	185	561	7360000	22440000	3.90672394719581
G401_BR1	X	40000	377	849	4	189	565	7520000	22600000	3.91031623312882
G401_BR1	X	40000	377	849	4	193	569	7680000	22760000	3.90481077666735
G401_BR1	X	40000	377	849	4	197	573	7840000	22920000	3.89953983279335
G401_BR1	X	40000	377	849	4	201	577	8000000	23080000	3.89728867448954
G401_BR1	X	40000	377	849	4	205	581	8160000	23240000	3.90127098028549
G401_BR1	X	40000	377	849	4	209	585	8320000	23400000	3.89281727012668
G401_BR1	X	40000	377	849	4	213	589	8480000	23560000	3.88235387820141
G401_BR1	X	40000	377	849	4	217	593	8640000	23720000	3.87640225407309
G401_BR1	X	40000	377	849	4	221	597	8800000	23880000	3.88369552630569
G401_BR1	X	40000	377	849	4	225	601	8960000	24040000	3.89122264100707
G401_BR1	X	40000	377	849	4	229	605	9120000	24200000	3.89971719654322
G401_BR1	X	40000	377	849	4	233	609	9280000	24360000	3.8996343988702
G401_BR1	X	40000	377	849	4	237	613	9440000	24520000	3.9000596314187
G401_BR1	X	40000	377	849	4	241	617	9600000	24680000	3.89215583858158
G401_BR1	X	40000	377	849	4	245	621	9760000	24840000	3.88701073128721
G401_BR1	X	40000	377	849	4	249	625	9920000	25000000	3.88145245352848
G401_BR1	X	40000	377	849	4	253	629	10080000	25160000	3.87450467205228
G401_BR1	X	40000	377	849	4	257	633	10240000	25320000	3.87864966818666
G401_BR1	X	40000	377	849	4	261	637	10400000	25480000	3.88812627037011
G401_BR1	X	40000	377	849	4	265	641	10560000	25640000	3.89877780737347
G401_BR1	X	40000	377	849	4	269	645	10720000	25800000	3.90084135408029
G401_BR1	X	40000	377	849	4	273	649	10880000	25960000	3.90445229441299
G401_BR1	X	40000	377	849	4	277	653	11040000	26120000	3.89873522990628
G401_BR1	X	40000	377	849	4	281	657	11200000	26280000	3.89565276875727
G401_BR1	X	40000	377	849	4	285	661	11360000	26440000	3.89248452896374
G401_BR1	X	40000	377	849	4	289	665	11520000	26600000	3.88673455482865
G401_BR1	X	40000	377	849	4	293	669	11680000	26760000	3.88338200511746
G401_BR1	X	40000	377	849	4	297	673	11840000	26920000	3.88212959190289
G401_BR1	X	40000	377	849	4	301	677	12000000	27080000	3.87905162211129
G401_BR1	X	40000	377	849	4	305	681	12160000	27240000	3.87367200840931
G401_BR1	X	40000	377	849	4	309	685	12320000	27400000	3.8683885901893
G401_BR1	X	40000	377	849	4	313	689	12480000	27560000	3.86349709511167
G401_BR1	X	40000	377	849	4	317	693	12640000	27720000	3.85757230331054
G401_BR1	X	40000	377	849	4	321	697	12800000	27880000	3.85820675643348
G401_BR1	X	40000	377	849	4	325	701	12960000	28040000	3.86602085152398
