Resolution	ChrNr	Sample1	Sample2	Q
40000	21	A549	G401	0.690787395507578
40000	21	A549	H1-hESC	0.554466849813591
40000	21	A549	HFFc6	0.619706020444812
40000	21	A549	LNCap	0.584729172797838
40000	21	G401	H1-hESC	0.649619597070432
40000	21	G401	HFFc6	0.646736179668722
40000	21	G401	LNCap	0.671675380974525
40000	21	H1-hESC	HFFc6	0.677938416641023
40000	21	H1-hESC	LNCap	0.866362069719897
40000	21	HFFc6	LNCap	0.601643070761794
40000	22	A549	G401	0.844077524391388
40000	22	A549	H1-hESC	0.854052516648634
40000	22	A549	HFFc6	0.879719426930209
40000	22	A549	LNCap	0.823303882392609
40000	22	G401	H1-hESC	0.881095889644031
40000	22	G401	HFFc6	0.850256777260311
40000	22	G401	LNCap	0.720614756847013
40000	22	H1-hESC	HFFc6	0.851718274230067
40000	22	H1-hESC	LNCap	0.728068358192422
40000	22	HFFc6	LNCap	0.630549596583357
100000	21	A549	G401	0.767489661103325
100000	21	A549	H1-hESC	0.615737341596005
100000	21	A549	HFFc6	0.600344318117723
100000	21	A549	LNCap	0.666193688173285
100000	21	G401	H1-hESC	0.714460468285882
100000	21	G401	HFFc6	0.664264295508716
100000	21	G401	LNCap	0.748470520715004
100000	21	H1-hESC	HFFc6	0.73339036202318
100000	21	H1-hESC	LNCap	0.86658314828264
100000	21	HFFc6	LNCap	0.635438958328946
100000	22	A549	G401	0.934532033262456
100000	22	A549	H1-hESC	0.688820773093308
100000	22	A549	HFFc6	0.438042158266008
100000	22	A549	LNCap	0.935283710853617
100000	22	G401	H1-hESC	0.640629670229685
100000	22	G401	HFFc6	0.422983202475725
100000	22	G401	LNCap	0.880082049329117
100000	22	H1-hESC	HFFc6	0.717543318612316
100000	22	H1-hESC	LNCap	0.622327748151483
100000	22	HFFc6	LNCap	0.269454949448638
