Resolution	ChrNr	Sample1	Sample2	Q
40000	20	A549	G401	0.756996510454064
40000	20	A549	H1-hESC	0.664557784411844
40000	20	A549	HFFc6	0.680558789502808
40000	20	A549	LNCap	0.559914240195712
40000	20	G401	H1-hESC	0.518206920168709
40000	20	G401	HFFc6	0.764331004810924
40000	20	G401	LNCap	0.46805945853203
40000	20	H1-hESC	HFFc6	0.655150292245985
40000	20	H1-hESC	LNCap	0.619599911287206
40000	20	HFFc6	LNCap	0.432972988547524
40000	21	A549	G401	0.670818345400549
40000	21	A549	H1-hESC	0.663890635747039
40000	21	A549	HFFc6	0.523794354528611
40000	21	A549	LNCap	0.549684286277374
40000	21	G401	H1-hESC	0.594379882967363
40000	21	G401	HFFc6	0.515299480518326
40000	21	G401	LNCap	0.644113437840301
40000	21	H1-hESC	HFFc6	0.592232161260172
40000	21	H1-hESC	LNCap	0.820551670262473
40000	21	HFFc6	LNCap	0.549862486839042
40000	22	A549	G401	0.703678750537107
40000	22	A549	H1-hESC	0.811443678563721
40000	22	A549	HFFc6	0.760542046123221
40000	22	A549	LNCap	0.79007572057771
40000	22	G401	H1-hESC	0.693406814092616
40000	22	G401	HFFc6	0.735754498053915
40000	22	G401	LNCap	0.568541486763313
40000	22	H1-hESC	HFFc6	0.734580315718767
40000	22	H1-hESC	LNCap	0.604611186260303
40000	22	HFFc6	LNCap	0.424456690628375
100000	20	A549	G401	0.725977955274591
100000	20	A549	H1-hESC	0.633429938450578
100000	20	A549	HFFc6	0.644697337582645
100000	20	A549	LNCap	0.668753199395624
100000	20	G401	H1-hESC	0.548385629483423
100000	20	G401	HFFc6	0.732374672222149
100000	20	G401	LNCap	0.545126087686519
100000	20	H1-hESC	HFFc6	0.702602962260385
100000	20	H1-hESC	LNCap	0.564490146657263
100000	20	HFFc6	LNCap	0.398996371657529
100000	21	A549	G401	0.725001505710397
100000	21	A549	H1-hESC	0.648379781052771
100000	21	A549	HFFc6	0.554854886830784
100000	21	A549	LNCap	0.607295954195628
100000	21	G401	H1-hESC	0.597938899602821
100000	21	G401	HFFc6	0.547211167343325
100000	21	G401	LNCap	0.651641587071669
100000	21	H1-hESC	HFFc6	0.594311154744873
100000	21	H1-hESC	LNCap	0.72568875035363
100000	21	HFFc6	LNCap	0.489349198295283
100000	22	A549	G401	0.739877369724481
100000	22	A549	H1-hESC	0.820588991617642
100000	22	A549	HFFc6	0.785978671330249
100000	22	A549	LNCap	0.7763288574846
100000	22	G401	H1-hESC	0.691608943565977
100000	22	G401	HFFc6	0.658458592959808
100000	22	G401	LNCap	0.634012494281607
100000	22	H1-hESC	HFFc6	0.726383344528635
100000	22	H1-hESC	LNCap	0.588954568817872
100000	22	HFFc6	LNCap	0.404831965266263
