Resolution	ChrNr	Sample1	Sample2	Q
40000	22	LNCap_BR1	A549_BR2	0.2877737561313794
40000	22	LNCap_BR1	LNCap_BR2	0.7647714666164466
40000	22	LNCap_BR1	HFFc6_BR1	0.07177804302055768
40000	22	LNCap_BR1	H1-hESC_BR1	0.13051369859150388
40000	22	LNCap_BR1	HFFc6_BR3	-0.028927793206037482
40000	22	LNCap_BR1	H1-hESC_BR2	0.208048650968558
40000	22	LNCap_BR1	A549_BR1	0.31396366599870185
40000	22	LNCap_BR1	G401_BR1	0.15736900438965065
40000	22	LNCap_BR1	HFFc6_BR2	0.06646225399711518
40000	22	LNCap_BR1	G401_BR2	0.2223653036478503
40000	22	A549_BR2	LNCap_BR2	0.49122986176597006
40000	22	A549_BR2	HFFc6_BR1	0.455919495873223
40000	22	A549_BR2	H1-hESC_BR1	0.40185654811425886
40000	22	A549_BR2	HFFc6_BR3	0.4002577155334696
40000	22	A549_BR2	H1-hESC_BR2	0.5186031583226306
40000	22	A549_BR2	A549_BR1	0.9752446015938354
40000	22	A549_BR2	G401_BR1	0.6195740742720526
40000	22	A549_BR2	HFFc6_BR2	0.4298886017470382
40000	22	A549_BR2	G401_BR2	0.642768358052146
40000	22	LNCap_BR2	HFFc6_BR1	0.3541074448700992
40000	22	LNCap_BR2	H1-hESC_BR1	0.3661942113437088
40000	22	LNCap_BR2	HFFc6_BR3	0.30007354159023564
40000	22	LNCap_BR2	H1-hESC_BR2	0.45083386135523185
40000	22	LNCap_BR2	A549_BR1	0.5718114842897322
40000	22	LNCap_BR2	G401_BR1	0.5266930095585681
40000	22	LNCap_BR2	HFFc6_BR2	0.3817387094089041
40000	22	LNCap_BR2	G401_BR2	0.5800329579839326
40000	22	HFFc6_BR1	H1-hESC_BR1	0.8588280695922682
40000	22	HFFc6_BR1	HFFc6_BR3	0.9871575038571692
40000	22	HFFc6_BR1	H1-hESC_BR2	0.8655221218863108
40000	22	HFFc6_BR1	A549_BR1	0.49599211721467296
40000	22	HFFc6_BR1	G401_BR1	0.8203639435433288
40000	22	HFFc6_BR1	HFFc6_BR2	0.9765753801141632
40000	22	HFFc6_BR1	G401_BR2	0.8468214373820607
40000	22	H1-hESC_BR1	HFFc6_BR3	0.7470819153896986
40000	22	H1-hESC_BR1	H1-hESC_BR2	0.9908672467394054
40000	22	H1-hESC_BR1	A549_BR1	0.4387664473792924
40000	22	H1-hESC_BR1	G401_BR1	0.3951061383929722
40000	22	H1-hESC_BR1	HFFc6_BR2	0.7568982879293982
40000	22	H1-hESC_BR1	G401_BR2	0.46964467784921804
40000	22	HFFc6_BR3	H1-hESC_BR2	0.7648563950859646
40000	22	HFFc6_BR3	A549_BR1	0.4359651627411397
40000	22	HFFc6_BR3	G401_BR1	0.8150528834006808
40000	22	HFFc6_BR3	HFFc6_BR2	0.9836713711917975
40000	22	HFFc6_BR3	G401_BR2	0.8300674404952357
40000	22	H1-hESC_BR2	A549_BR1	0.57547171555079
40000	22	H1-hESC_BR2	G401_BR1	0.5234402904339495
40000	22	H1-hESC_BR2	HFFc6_BR2	0.7704249604954844
40000	22	H1-hESC_BR2	G401_BR2	0.5898205440012367
40000	22	A549_BR1	G401_BR1	0.6835552878501033
40000	22	A549_BR1	HFFc6_BR2	0.4799300571028213
40000	22	A549_BR1	G401_BR2	0.7033282330332647
40000	22	G401_BR1	HFFc6_BR2	0.810959060410544
40000	22	G401_BR1	G401_BR2	0.9901094321822647
40000	22	HFFc6_BR2	G401_BR2	0.8348952437076105
