Resolution	ChrNr	Sample1	Sample2	Q
10000	21	ODC_CTL_BR3	ODC_AD_BR1	0.9718078926474403
10000	21	ODC_CTL_BR3	ODC_CTL_BR1	0.9854703462376393
10000	21	ODC_CTL_BR3	ODC_AD_BR3	0.9102175744246399
10000	21	ODC_CTL_BR3	ODC_AD_BR4	0.8505761114146584
10000	21	ODC_CTL_BR3	ODC_CTL_BR4	0.9533443843567119
10000	21	ODC_CTL_BR3	ODC_CTL_BR2	0.9695895244927384
10000	21	ODC_CTL_BR3	ODC_AD_BR2	0.9084030582606173
10000	21	ODC_AD_BR1	ODC_CTL_BR1	0.9750723311900563
10000	21	ODC_AD_BR1	ODC_AD_BR3	0.9380666931871519
10000	21	ODC_AD_BR1	ODC_AD_BR4	0.9073571879188981
10000	21	ODC_AD_BR1	ODC_CTL_BR4	0.9581134574420399
10000	21	ODC_AD_BR1	ODC_CTL_BR2	0.9605987765519397
10000	21	ODC_AD_BR1	ODC_AD_BR2	0.9594531812451853
10000	21	ODC_CTL_BR1	ODC_AD_BR3	0.9259973645511578
10000	21	ODC_CTL_BR1	ODC_AD_BR4	0.8659126663220502
10000	21	ODC_CTL_BR1	ODC_CTL_BR4	0.9621454938823738
10000	21	ODC_CTL_BR1	ODC_CTL_BR2	0.9583573743765785
10000	21	ODC_CTL_BR1	ODC_AD_BR2	0.930737938542341
10000	21	ODC_AD_BR3	ODC_AD_BR4	0.8856873699869559
10000	21	ODC_AD_BR3	ODC_CTL_BR4	0.9201768210821055
10000	21	ODC_AD_BR3	ODC_CTL_BR2	0.9553253118658014
10000	21	ODC_AD_BR3	ODC_AD_BR2	0.9412233939530635
10000	21	ODC_AD_BR4	ODC_CTL_BR4	0.9501210616383151
10000	21	ODC_AD_BR4	ODC_CTL_BR2	0.8188671911093005
10000	21	ODC_AD_BR4	ODC_AD_BR2	0.9760150532125375
10000	21	ODC_CTL_BR4	ODC_CTL_BR2	0.9138997062967185
10000	21	ODC_CTL_BR4	ODC_AD_BR2	0.9701385808043447
10000	21	ODC_CTL_BR2	ODC_AD_BR2	0.8990163424026817
10000	22	ODC_CTL_BR3	ODC_AD_BR1	0.9780617070777561
10000	22	ODC_CTL_BR3	ODC_CTL_BR1	0.990365223284195
10000	22	ODC_CTL_BR3	ODC_AD_BR3	0.9209209778719366
10000	22	ODC_CTL_BR3	ODC_AD_BR4	0.9622133907704596
10000	22	ODC_CTL_BR3	ODC_CTL_BR4	0.9767727187330334
10000	22	ODC_CTL_BR3	ODC_CTL_BR2	0.9725888619525537
10000	22	ODC_CTL_BR3	ODC_AD_BR2	0.9569467625641223
10000	22	ODC_AD_BR1	ODC_CTL_BR1	0.9820151927243708
10000	22	ODC_AD_BR1	ODC_AD_BR3	0.9013707172370412
10000	22	ODC_AD_BR1	ODC_AD_BR4	0.9691358155706408
10000	22	ODC_AD_BR1	ODC_CTL_BR4	0.9504729778453496
10000	22	ODC_AD_BR1	ODC_CTL_BR2	0.9561893124601806
10000	22	ODC_AD_BR1	ODC_AD_BR2	0.97054668659476
10000	22	ODC_CTL_BR1	ODC_AD_BR3	0.9376421675967218
10000	22	ODC_CTL_BR1	ODC_AD_BR4	0.9524801412226483
10000	22	ODC_CTL_BR1	ODC_CTL_BR4	0.9634160260997793
10000	22	ODC_CTL_BR1	ODC_CTL_BR2	0.9657973158279709
10000	22	ODC_CTL_BR1	ODC_AD_BR2	0.9537429441517259
10000	22	ODC_AD_BR3	ODC_AD_BR4	0.8439215910895925
10000	22	ODC_AD_BR3	ODC_CTL_BR4	0.8648636610723149
10000	22	ODC_AD_BR3	ODC_CTL_BR2	0.9361798782393352
10000	22	ODC_AD_BR3	ODC_AD_BR2	0.8526912215997504
10000	22	ODC_AD_BR4	ODC_CTL_BR4	0.9729127812174683
10000	22	ODC_AD_BR4	ODC_CTL_BR2	0.9292950142693782
10000	22	ODC_AD_BR4	ODC_AD_BR2	0.9810991025093009
10000	22	ODC_CTL_BR4	ODC_CTL_BR2	0.9559691721322847
10000	22	ODC_CTL_BR4	ODC_AD_BR2	0.9492273683435523
10000	22	ODC_CTL_BR2	ODC_AD_BR2	0.9093599319253292
25000	21	ODC_CTL_BR3	ODC_AD_BR1	0.9620579747353613
25000	21	ODC_CTL_BR3	ODC_CTL_BR1	0.9776707177071913
25000	21	ODC_CTL_BR3	ODC_AD_BR3	0.8992340429832988
25000	21	ODC_CTL_BR3	ODC_AD_BR4	0.9008763815019668
