Name	ChrNr	Resolution	n	PHI	phi	binNrStart	binNrEnd	START	END	S
G401_BR1	X	40000	377	849	4	0	384	0	15400000	3.7484813932777983
G401_BR1	X	40000	377	849	4	7	388	280000	15560000	3.742611951547317
G401_BR1	X	40000	377	849	4	11	392	440000	15720000	3.745020436902489
G401_BR1	X	40000	377	849	4	15	396	600000	15880000	3.7546260193597165
G401_BR1	X	40000	377	849	4	19	400	760000	16040000	3.765065438934389
G401_BR1	X	40000	377	849	4	23	404	920000	16200000	3.767461461715181
G401_BR1	X	40000	377	849	4	27	408	1080000	16360000	3.7653436978544037
G401_BR1	X	40000	377	849	4	31	412	1240000	16520000	3.7635675403019953
G401_BR1	X	40000	377	849	4	35	416	1400000	16680000	3.7613358650876054
G401_BR1	X	40000	377	849	4	39	420	1560000	16840000	3.761662776945698
G401_BR1	X	40000	377	849	4	43	424	1720000	17000000	3.779124486462047
G401_BR1	X	40000	377	849	4	47	428	1880000	17160000	3.7930950525226392
G401_BR1	X	40000	377	849	4	55	432	2200000	17320000	3.8055816030934757
G401_BR1	X	40000	377	849	4	59	436	2360000	17480000	3.813541885865838
G401_BR1	X	40000	377	849	4	63	440	2520000	17640000	3.816745342851236
G401_BR1	X	40000	377	849	4	67	444	2680000	17800000	3.8173970747791324
G401_BR1	X	40000	377	849	4	71	448	2840000	17960000	3.8102696278694164
G401_BR1	X	40000	377	849	4	75	452	3000000	18120000	3.8070320741816586
G401_BR1	X	40000	377	849	4	79	456	3160000	18280000	3.8007339369074558
G401_BR1	X	40000	377	849	4	83	460	3320000	18440000	3.799831049545554
G401_BR1	X	40000	377	849	4	87	464	3480000	18600000	3.7970965297952866
G401_BR1	X	40000	377	849	4	91	468	3640000	18760000	3.7880506180545623
G401_BR1	X	40000	377	849	4	95	472	3800000	18920000	3.772860523624946
G401_BR1	X	40000	377	849	4	100	476	4000000	19080000	3.7585384685342644
G401_BR1	X	40000	377	849	4	104	480	4160000	19240000	3.7595090095130117
G401_BR1	X	40000	377	849	4	108	484	4320000	19400000	3.754916340588536
G401_BR1	X	40000	377	849	4	112	488	4480000	19560000	3.7651052520956108
G401_BR1	X	40000	377	849	4	116	492	4640000	19720000	3.780334269958579
G401_BR1	X	40000	377	849	4	120	496	4800000	19880000	3.7940461649179134
G401_BR1	X	40000	377	849	4	124	500	4960000	20040000	3.7951616508680073
