Resolution	ChrNr	Sample1	Sample2	Q
40000	2	HFFc6_BR2	A549_BR2	0.5584659814117208
40000	2	HFFc6_BR2	G401_BR2	0.6594518933893059
40000	2	HFFc6_BR2	HFFc6_BR1	0.8473530463515314
40000	2	HFFc6_BR2	H1-hESC_BR2	0.7581152091303471
40000	2	HFFc6_BR2	H1-hESC_BR1	0.7923301789801962
40000	2	HFFc6_BR2	LNCap_BR2	0.1362291153652426
40000	2	HFFc6_BR2	G401_BR1	0.6424529139350985
40000	2	HFFc6_BR2	LNCap_BR1	0.24424568002738972
40000	2	HFFc6_BR2	A549_BR1	0.5624454517993521
40000	2	HFFc6_BR2	HFFc6_BR3	0.9548137021350074
40000	2	A549_BR2	G401_BR2	0.9112330084168317
40000	2	A549_BR2	HFFc6_BR1	0.34484386267995526
40000	2	A549_BR2	H1-hESC_BR2	0.6198686417352276
40000	2	A549_BR2	H1-hESC_BR1	0.6725654091509145
40000	2	A549_BR2	LNCap_BR2	0.13356625819393583
40000	2	A549_BR2	G401_BR1	0.9203536923841832
40000	2	A549_BR2	LNCap_BR1	0.23620147819639692
40000	2	A549_BR2	A549_BR1	0.9983285818901636
40000	2	A549_BR2	HFFc6_BR3	0.5854904616844708
40000	2	G401_BR2	HFFc6_BR1	0.4006990119212776
40000	2	G401_BR2	H1-hESC_BR2	0.7398398569537766
40000	2	G401_BR2	H1-hESC_BR1	0.7946818476344336
40000	2	G401_BR2	LNCap_BR2	0.31210772252926966
40000	2	G401_BR2	G401_BR1	0.9981734806765293
40000	2	G401_BR2	LNCap_BR1	0.4222284470814317
40000	2	G401_BR2	A549_BR1	0.9021951331393271
40000	2	G401_BR2	HFFc6_BR3	0.7468557239313808
40000	2	HFFc6_BR1	H1-hESC_BR2	0.593719338878058
40000	2	HFFc6_BR1	H1-hESC_BR1	0.5756982283643706
40000	2	HFFc6_BR1	LNCap_BR2	-0.05278483601745054
40000	2	HFFc6_BR1	G401_BR1	0.39007299995362016
40000	2	HFFc6_BR1	LNCap_BR1	0.019725013197531678
40000	2	HFFc6_BR1	A549_BR1	0.35607804388173525
40000	2	HFFc6_BR1	HFFc6_BR3	0.7311955712029776
40000	2	H1-hESC_BR2	H1-hESC_BR1	0.9778836287224495
40000	2	H1-hESC_BR2	LNCap_BR2	0.21917864361549277
40000	2	H1-hESC_BR2	G401_BR1	0.7204040360251003
40000	2	H1-hESC_BR2	LNCap_BR1	0.3075364960590213
40000	2	H1-hESC_BR2	A549_BR1	0.6213832903816083
40000	2	H1-hESC_BR2	HFFc6_BR3	0.7761301619784495
40000	2	H1-hESC_BR1	LNCap_BR2	0.3234558260525574
40000	2	H1-hESC_BR1	G401_BR1	0.7758820266065629
40000	2	H1-hESC_BR1	LNCap_BR1	0.41586146714973565
40000	2	H1-hESC_BR1	A549_BR1	0.6739702513427328
40000	2	H1-hESC_BR1	HFFc6_BR3	0.8296665966505629
40000	2	LNCap_BR2	G401_BR1	0.3045250178691742
40000	2	LNCap_BR2	LNCap_BR1	0.9891502595696053
40000	2	LNCap_BR2	A549_BR1	0.12004368567344971
40000	2	LNCap_BR2	HFFc6_BR3	0.3031114102313543
40000	2	G401_BR1	LNCap_BR1	0.41393553890643014
40000	2	G401_BR1	A549_BR1	0.910755822910923
40000	2	G401_BR1	HFFc6_BR3	0.7289005843086062
40000	2	LNCap_BR1	A549_BR1	0.22168542254755408
40000	2	LNCap_BR1	HFFc6_BR3	0.4088584500244588
40000	2	A549_BR1	HFFc6_BR3	0.5835419898830834
40000	4	HFFc6_BR2	A549_BR2	-0.07692365079248746
40000	4	HFFc6_BR2	G401_BR2	0.6851751725694307
40000	4	HFFc6_BR2	HFFc6_BR1	0.6274066071198209
40000	4	HFFc6_BR2	H1-hESC_BR2	0.5990831921733084
40000	4	HFFc6_BR2	H1-hESC_BR1	0.6282007474106924
40000	4	HFFc6_BR2	LNCap_BR2	-0.2843167325773816
40000	4	HFFc6_BR2	G401_BR1	0.6699734732409386
40000	4	HFFc6_BR2	LNCap_BR1	-0.271770845608346
40000	4	HFFc6_BR2	A549_BR1	-0.09747970791422904
40000	4	HFFc6_BR2	HFFc6_BR3	0.7289009041019977
40000	4	A549_BR2	G401_BR2	0.06899120630758379
40000	4	A549_BR2	HFFc6_BR1	-0.39689756336749465
40000	4	A549_BR2	H1-hESC_BR2	-0.4624010668184198
40000	4	A549_BR2	H1-hESC_BR1	-0.3773019561785226
40000	4	A549_BR2	LNCap_BR2	0.5867576081982332
40000	4	A549_BR2	G401_BR1	-0.024705168788742213
40000	4	A549_BR2	LNCap_BR1	0.6533369857245375
40000	4	A549_BR2	A549_BR1	0.9675110769729823
40000	4	A549_BR2	HFFc6_BR3	-0.3193514591848817
40000	4	G401_BR2	HFFc6_BR1	0.5398677199270728
40000	4	G401_BR2	H1-hESC_BR2	0.3736141815793124
40000	4	G401_BR2	H1-hESC_BR1	0.3858891012385962
40000	4	G401_BR2	LNCap_BR2	-0.08447897167558603
40000	4	G401_BR2	G401_BR1	0.9819917943947615
40000	4	G401_BR2	LNCap_BR1	-0.049954268348603656
40000	4	G401_BR2	A549_BR1	0.09151065770089274
40000	4	G401_BR2	HFFc6_BR3	0.4993057472378602
40000	4	HFFc6_BR1	H1-hESC_BR2	0.6286345076639718
40000	4	HFFc6_BR1	H1-hESC_BR1	0.5867320745754528
40000	4	HFFc6_BR1	LNCap_BR2	-0.2761570890325035
40000	4	HFFc6_BR1	G401_BR1	0.5622710102342413
40000	4	HFFc6_BR1	LNCap_BR1	-0.23528499217438678
40000	4	HFFc6_BR1	A549_BR1	-0.32854351042633073
40000	4	HFFc6_BR1	HFFc6_BR3	0.8562023697412301
40000	4	H1-hESC_BR2	H1-hESC_BR1	0.9718918986763553
40000	4	H1-hESC_BR2	LNCap_BR2	-0.6123558302827389
40000	4	H1-hESC_BR2	G401_BR1	0.365004617651027
40000	4	H1-hESC_BR2	LNCap_BR1	-0.5315239763762138
40000	4	H1-hESC_BR2	A549_BR1	-0.4164021596089398
40000	4	H1-hESC_BR2	HFFc6_BR3	0.6925964226824151
40000	4	H1-hESC_BR1	LNCap_BR2	-0.5704022754146898
40000	4	H1-hESC_BR1	G401_BR1	0.3594401826467245
40000	4	H1-hESC_BR1	LNCap_BR1	-0.480378176737182
40000	4	H1-hESC_BR1	A549_BR1	-0.32916444523163285
40000	4	H1-hESC_BR1	HFFc6_BR3	0.7018336888745397
40000	4	LNCap_BR2	G401_BR1	-0.13936797730353864
40000	4	LNCap_BR2	LNCap_BR1	0.9250105855748437
40000	4	LNCap_BR2	A549_BR1	0.5807387530027756
40000	4	LNCap_BR2	HFFc6_BR3	-0.2621337858763835
40000	4	G401_BR1	LNCap_BR1	-0.1199809131993004
40000	4	G401_BR1	A549_BR1	0.0071857052332479025
40000	4	G401_BR1	HFFc6_BR3	0.483089540971318
40000	4	LNCap_BR1	A549_BR1	0.6600663588670211
40000	4	LNCap_BR1	HFFc6_BR3	-0.2227515641374424
40000	4	A549_BR1	HFFc6_BR3	-0.30110610782995695
40000	6	HFFc6_BR2	A549_BR2	0.09541820426702946
40000	6	HFFc6_BR2	G401_BR2	0.40137702082714494
40000	6	HFFc6_BR2	HFFc6_BR1	0.30877652240177894
40000	6	HFFc6_BR2	H1-hESC_BR2	0.6308465637633686
40000	6	HFFc6_BR2	H1-hESC_BR1	0.7270628936453367
40000	6	HFFc6_BR2	LNCap_BR2	0.051791373891628786
40000	6	HFFc6_BR2	G401_BR1	0.44009287328782964
40000	6	HFFc6_BR2	LNCap_BR1	0.1293368419009179
40000	6	HFFc6_BR2	A549_BR1	0.10472408967724686
40000	6	HFFc6_BR2	HFFc6_BR3	0.4582224137420118
40000	6	A549_BR2	G401_BR2	0.5232641414098373
40000	6	A549_BR2	HFFc6_BR1	-0.6071496555895532
40000	6	A549_BR2	H1-hESC_BR2	-0.06125104014203709
40000	6	A549_BR2	H1-hESC_BR1	0.12501317907314333
40000	6	A549_BR2	LNCap_BR2	0.7575823401268241
40000	6	A549_BR2	G401_BR1	0.5053574450941873
40000	6	A549_BR2	LNCap_BR1	0.8301738204808518
40000	6	A549_BR2	A549_BR1	0.9848007138390916
40000	6	A549_BR2	HFFc6_BR3	-0.4508529832809859
40000	6	G401_BR2	HFFc6_BR1	0.0005573846123744144
40000	6	G401_BR2	H1-hESC_BR2	0.49375189411396603
40000	6	G401_BR2	H1-hESC_BR1	0.5524585993900675
40000	6	G401_BR2	LNCap_BR2	0.3724178726093384
40000	6	G401_BR2	G401_BR1	0.9564392846103654
40000	6	G401_BR2	LNCap_BR1	0.46429705502243873
40000	6	G401_BR2	A549_BR1	0.5242374017787058
40000	6	G401_BR2	HFFc6_BR3	-0.058768916907616583
40000	6	HFFc6_BR1	H1-hESC_BR2	0.562809890525418
40000	6	HFFc6_BR1	H1-hESC_BR1	0.3925276532130799
