Resolution	ChrNr	START	END	meanS_Euclidean
40000	6	62360000	82360000	3.3625023926723685
40000	6	62120000	82120000	3.3546076641065095
40000	6	61880000	81880000	3.3441925121710026
40000	6	62600000	82600000	3.2990932597052436
40000	6	61640000	81640000	3.2740458366906697
40000	6	61400000	81400000	3.186569754918537
40000	6	62840000	82840000	3.1730721535111894
40000	6	60920000	80920000	3.114110306522535
40000	6	61160000	81160000	3.098374085079964
40000	6	63080000	83080000	3.0676413442871784
40000	6	60680000	80680000	3.0285042333661383
40000	6	57760000	79480000	3.016943585507985
40000	6	57520000	79240000	3.0141535101623824
40000	6	58000000	79720000	3.0015797207971247
40000	6	63320000	83320000	2.9893517031057404
40000	6	58240000	79960000	2.9637425846130445
40000	6	60440000	80440000	2.9544357420089153
40000	6	60200000	80200000	2.9457217611357382
40000	6	63560000	83560000	2.929713842073714
40000	6	57280000	79000000	2.898004284735272
40000	6	129320000	149320000	2.8783941371272177
40000	6	130040000	150040000	2.8752753684518897
40000	6	130280000	150280000	2.8725351988255086
40000	6	63800000	83800000	2.8710349723216466
40000	6	129080000	149080000	2.848343544158581
40000	6	129560000	149560000	2.817816290524462
40000	6	130520000	150520000	2.813455002777637
40000	6	129800000	149800000	2.8011491753525704
40000	6	128840000	148840000	2.7764803146772685
40000	6	130760000	150760000	2.7723369760249317
40000	6	64040000	84040000	2.7373921642777543
40000	6	131480000	151480000	2.726276694725073
40000	6	131240000	151240000	2.725570271800562
40000	6	131000000	151000000	2.7226524701436308
40000	6	57040000	78760000	2.6973825940223732
40000	6	128600000	148600000	2.689149236808173
40000	6	131720000	151720000	2.6332138778346392
40000	6	128360000	148360000	2.6060059504706925
40000	6	56800000	78520000	2.5695814037456324
40000	6	127400000	147400000	2.567001340376361
40000	6	127160000	147160000	2.5342904120531853
40000	6	126920000	146920000	2.5334669299920956
40000	6	126680000	146680000	2.5333366334903533
40000	6	127880000	147880000	2.5293425570418466
40000	6	127640000	147640000	2.5287857523047226
40000	6	64280000	84280000	2.500296151400493
40000	6	126440000	146440000	2.4993835306175365
40000	6	128120000	148120000	2.496991345246982
40000	6	131960000	151960000	2.4761996451483674
40000	6	56560000	78280000	2.473916527898754
40000	6	126200000	146200000	2.461278191092397
40000	6	125720000	145720000	2.4354480661735156
40000	6	132440000	152440000	2.431038236394135
40000	6	125960000	145960000	2.412897460973112
40000	4	137080000	157080000	2.412157008208487
40000	6	56320000	78040000	2.409044465865146
40000	6	132200000	152200000	2.400809071045341
40000	6	132680000	152680000	2.3915621651953582
40000	10	36280000	58320000	2.3908433457440834
40000	4	141160000	161160000	2.375026451586016
40000	10	36520000	58560000	2.3680094246029273
40000	6	125480000	145480000	2.3626030142424757
40000	6	64520000	84520000	2.355943676707252
40000	4	137320000	157320000	2.3460810662391656
40000	10	37480000	59520000	2.3280775717628353
40000	10	37000000	59040000	2.325642098220141
40000	4	140920000	160920000	2.3252188167933032
40000	10	36040000	58080000	2.3218087897689714
40000	2	64560000	84560000	2.3212958932908445
40000	10	37720000	59760000	2.3192430390888883
40000	10	37240000	59280000	2.3182078210860784
40000	6	56080000	77800000	2.3171642752905295
40000	4	136840000	156840000	2.313417559162831
40000	4	13320000	33320000	2.311887646383875
40000	10	36760000	58800000	2.3104752538503477
40000	12	111640000	131640000	2.30946134991225
40000	6	64760000	84760000	2.306103585412291
40000	6	132920000	152920000	2.29874394649672
40000	12	111880000	131880000	2.292927187101777
40000	4	141400000	161400000	2.2884781535105216
40000	6	124760000	144760000	2.286480714161358
40000	2	64320000	84320000	2.2849372318211345
40000	10	35560000	57600000	2.2845286020788835
40000	10	37960000	60000000	2.2813055479628903
40000	12	112120000	132120000	2.2748865272744
40000	10	35800000	57840000	2.2743918925404296
40000	6	125000000	145000000	2.2663854171881415
40000	12	112360000	132360000	2.2624634441614155
40000	6	124520000	144520000	2.2586413079504717
40000	12	112600000	132600000	2.2429038342064405
40000	6	125240000	145240000	2.2400918455416123
40000	2	64800000	84800000	2.231983061819664
40000	4	16920000	36920000	2.231236879998424
40000	4	17160000	37160000	2.2270360654208026
40000	4	13080000	33080000	2.2264140186245642
40000	4	16680000	36680000	2.214426478235827
40000	10	38200000	60240000	2.2124113104771
40000	4	141640000	161640000	2.2071687288757786
40000	20	40360000	60360000	2.2040380415078844
40000	4	17400000	37400000	2.2013598976105153
40000	4	137560000	157560000	2.1995559332475207
40000	6	65000000	85000000	2.1975573863414026
40000	12	112840000	132840000	2.196342048326993
40000	4	140680000	160680000	2.192783947434838
40000	4	16440000	36440000	2.184173956374337
40000	10	35320000	57360000	2.1808704382726813
40000	20	40600000	60600000	2.1796900152044683
40000	4	13560000	33560000	2.179225185185961
40000	12	113080000	133080000	2.1688025561271056
40000	6	55840000	77560000	2.1676743756812034
40000	6	133160000	153160000	2.162826644574554
40000	12	111400000	131400000	2.159493690655778
40000	20	41800000	61800000	2.1589135382005344
40000	20	40120000	60120000	2.1447210095741736
40000	4	140440000	160440000	2.1365074338631835
40000	4	136600000	156600000	2.1302417184364812
40000	6	124280000	144280000	2.1210480353013303
40000	20	41560000	61560000	2.1209702423752494
40000	20	16360000	38520000	2.1121885609491096
40000	20	15880000	38040000	2.112013187093499
40000	4	17640000	37640000	2.1061617615612414
40000	2	64080000	84080000	2.106095871610761
40000	2	65040000	85040000	2.0978904032390733
40000	4	16200000	36200000	2.096193408423574
40000	20	15640000	37800000	2.095104666456588
40000	20	15400000	37560000	2.094955193634079
40000	20	16120000	38280000	2.094289867401837
40000	10	35080000	57120000	2.0904219834636133
40000	4	12840000	32840000	2.088235008960823
40000	14	29040000	49040000	2.0881276164818834
40000	4	140200000	160200000	2.082270857176183
40000	20	42040000	62040000	2.077318307328039
40000	14	28800000	48800000	2.071326792820529
40000	6	65240000	85240000	2.0675277382985437
40000	20	39880000	59880000	2.0605563508831053
40000	14	28560000	48560000	2.0585426409778567
40000	4	13800000	33800000	2.0549923614691123
40000	6	55600000	77320000	2.0543798509978513
40000	20	40840000	60840000	2.053104719223974
40000	10	38440000	60480000	2.0515165480108633
40000	20	16600000	38760000	2.0509094134076347
40000	4	139960000	159960000	2.0365968044655562
40000	6	133400000	153400000	2.0348394613095664
40000	14	29280000	49280000	2.0282311061765466
40000	20	39640000	59640000	2.024825386994588
40000	20	15160000	37320000	2.0219912740976507
40000	14	29520000	49520000	2.020071440173403
40000	4	139720000	159720000	2.011600007969368
40000	4	17880000	37880000	2.009770862265246
40000	6	124040000	144040000	2.0058580019663284
40000	14	28320000	48320000	2.0037476585035257
40000	4	139480000	159480000	1.9989401548068162
40000	4	12600000	32600000	1.9951532982110383
40000	20	43480000	63480000	1.9899860983374829
40000	20	41320000	61320000	1.9795588155328254
40000	20	14920000	37080000	1.976761891188185
40000	4	136360000	156360000	1.9756850533515937
40000	4	137800000	157800000	1.9734345400613733
