Resolution	ChrNr	START	END	meanS_Euclidean
40000	2	218040000	242040000	3.155805913315529
40000	2	217800000	241800000	3.058776282347496
40000	2	217560000	241560000	2.955630599493037
40000	2	217320000	241320000	2.8560578575195485
40000	4	480000	19400000	2.844341613979294
40000	4	720000	19640000	2.7918674067701725
40000	4	1200000	20120000	2.7790595588726976
40000	4	240000	19160000	2.7713622590643396
40000	4	960000	19880000	2.769531231394535
40000	2	217080000	241080000	2.756123233859992
40000	4	1440000	20360000	2.7424356231699036
40000	4	1680000	20600000	2.683039351174557
40000	4	0	18920000	2.676464753393848
40000	4	2160000	21080000	2.6517253691963654
40000	4	1920000	20840000	2.647769407366917
40000	2	216840000	240840000	2.6333051207128055
40000	4	2400000	21320000	2.6129073360958532
40000	4	2640000	21560000	2.5488405479958853
40000	2	216600000	240600000	2.537388266270197
40000	18	41760000	49280000	2.504304984004817
40000	4	2880000	21800000	2.4753166179817163
40000	2	216360000	240360000	2.4225655013396836
40000	4	3120000	22040000	2.410923008469289
40000	4	3360000	22280000	2.349420027692345
40000	18	41520000	49040000	2.3424609855681884
40000	2	216120000	240120000	2.31558689427769
40000	18	42000000	49520000	2.2862194864746805
40000	2	215880000	239880000	2.2684797185696683
40000	X	31320000	46560000	2.232129541153323
40000	2	215640000	239640000	2.219740799591657
40000	4	3600000	22520000	2.2119406749639556
40000	X	32280000	47520000	2.2116728809765287
40000	X	32040000	47280000	2.2083500446579385
40000	X	31080000	46320000	2.2003330403476116
40000	X	31560000	46800000	2.1984264094758106
40000	8	108160000	122520000	2.1804630843848076
40000	8	108400000	122760000	2.159714443562017
40000	8	109360000	123720000	2.156791500132333
40000	X	31800000	47040000	2.1565399475447546
40000	8	109120000	123480000	2.144726488228869
40000	18	27360000	34880000	2.1390326560144644
40000	6	16920000	33840000	2.1315818345340154
40000	2	215400000	239400000	2.1269162047471055
40000	X	30840000	46080000	2.1251563424532764
40000	6	17160000	34080000	2.1247181612219
40000	8	107920000	122280000	2.11074135025803
40000	8	108640000	123000000	2.1080497987326328
40000	4	3840000	22760000	2.1069853685714897
40000	8	108880000	123240000	2.0994589576468523
40000	8	13080000	27440000	2.0990448102368195
40000	18	27600000	35120000	2.0949578241933398
40000	6	16680000	33600000	2.0794985859489783
40000	6	17400000	34320000	2.079173940282583
40000	8	109600000	123960000	2.0680670166377926
40000	8	12840000	27200000	2.0648398435136825
40000	18	27120000	34640000	2.0519811946382274
40000	X	30600000	45840000	2.050390665870643
40000	8	13320000	27680000	2.0478934367241943
40000	18	43200000	50720000	2.0440463450732063
40000	4	4080000	23000000	2.0358461420390275
40000	2	215160000	239160000	2.034997690834963
40000	6	36160000	53040000	2.0313870742602504
40000	6	35920000	52800000	2.0260215109225936
40000	6	16440000	33360000	2.0167473179150033
40000	X	32520000	47760000	2.011883932945464
40000	X	30360000	45600000	2.0069719394826295
40000	X	80200000	95280000	1.9974164438857132
40000	6	36400000	53280000	1.9909794172946118
40000	18	41280000	48800000	1.9873916293827094
40000	6	17640000	34560000	1.9823948335970607
40000	8	107680000	122040000	1.9776974771723748
40000	X	80440000	95520000	1.962513589338113
40000	6	35680000	52560000	1.9598884651314117
40000	8	12600000	26960000	1.9549755867621743
40000	2	214920000	238920000	1.9510774398002615
40000	6	36640000	53520000	1.9488237071863732
40000	12	119800000	133120000	1.9456421514537554
40000	X	79960000	95040000	1.9433233016628275
40000	X	30120000	45360000	1.9319356881141083
40000	18	42960000	50480000	1.931645843586402
40000	6	16200000	33120000	1.9310031461278359
40000	6	15720000	32640000	1.9302507818795382
40000	X	79720000	94800000	1.930143507299136
40000	X	85480000	100560000	1.9287117337003334
40000	4	4320000	23240000	1.9129759092543075
40000	18	42720000	50240000	1.911089752441524
40000	X	80680000	95760000	1.908749245444218
40000	6	15960000	32880000	1.9085318318032884
40000	20	15640000	21840000	1.9041664316796474
40000	X	85720000	100800000	1.8916070590647092
40000	X	79480000	94560000	1.8873996830078
40000	X	85240000	100320000	1.8868088586640603
40000	6	36880000	53760000	1.8821264695327151
40000	18	43440000	50960000	1.8810205847374861
40000	18	42240000	49760000	1.8761310692887034
40000	6	17880000	34800000	1.8747782758979579
40000	6	15480000	32400000	1.8728010844314131
40000	8	109840000	124200000	1.8714969004573645
40000	10	76720000	89880000	1.8665734690477915
40000	20	16120000	22320000	1.8632422164530604
40000	2	214680000	238680000	1.861193791063793
40000	6	37120000	54000000	1.8598915290854645
40000	X	85000000	100080000	1.8592757495217516
40000	12	100120000	113440000	1.8407476380752044
40000	12	99880000	113200000	1.836734191906818
40000	6	35440000	52320000	1.834868649203674
40000	X	79240000	94320000	1.834090924028352
40000	6	37360000	54240000	1.8329248744244981
40000	20	16360000	22560000	1.824878845729767
40000	18	42480000	50000000	1.8244423586701688
40000	8	107440000	121800000	1.8236859147538862
40000	12	119560000	132880000	1.8202190946232866
40000	18	27840000	35360000	1.819518449671041
40000	X	32760000	48000000	1.8174744936077942
40000	20	15880000	22080000	1.8169611391752403
40000	X	80920000	96000000	1.8167065577134796
40000	X	81880000	96960000	1.8155338015049232
40000	X	29880000	45120000	1.8100076917984858
40000	6	35200000	52080000	1.8098066077649797
40000	10	76960000	90120000	1.8097621764720595
40000	10	76480000	89640000	1.8015801911772649
40000	6	55600000	74200000	1.7950625116209935
40000	6	55840000	74440000	1.792105088288818
40000	6	34960000	51840000	1.7917760933947975
40000	X	81400000	96480000	1.789063613108568
40000	X	81160000	96240000	1.7796240779423709
40000	6	56080000	74680000	1.7743114030162737
40000	4	4560000	23480000	1.7696438331688416
40000	X	84760000	99840000	1.7684540166285008
40000	12	100600000	113920000	1.7635199423600973
40000	8	13560000	27920000	1.7628723501123724
40000	12	100360000	113680000	1.7588580190528234
40000	X	81640000	96720000	1.7553123015405425
40000	18	36480000	44000000	1.7519529155829447
40000	X	29640000	44880000	1.7498955784710357
40000	12	119320000	132640000	1.7496205726512999
40000	18	36720000	44240000	1.7463439022687197
40000	2	214440000	238440000	1.7438879756486025
40000	14	85200000	94080000	1.743349485316475
40000	12	118360000	131680000	1.7379033246657272
40000	6	56320000	74920000	1.7340367761083562
40000	6	37600000	54480000	1.7306882774001366
40000	6	55360000	73960000	1.7305285598755293
40000	12	100840000	114160000	1.7301799164232887
40000	8	110080000	124440000	1.7296244137310026
40000	12	118600000	131920000	1.7265249626527919
40000	6	18120000	35040000	1.724613863630811
40000	6	34720000	51600000	1.7244494000857618
40000	18	10840000	23360000	1.723610991102456
40000	10	77200000	90360000	1.723466315157958
40000	8	130720000	145080000	1.7227939219299166
40000	X	79000000	94080000	1.7205293662206607
40000	20	24520000	32880000	1.7204310722974245
40000	10	76240000	89400000	1.7198747698115404
40000	4	36600000	57440000	1.719073217089275
40000	X	78520000	93600000	1.7173952417268439
40000	X	82120000	97200000	1.7167308284478813
40000	12	118840000	132160000	1.7140073703169805
40000	4	36840000	57680000	1.7125248398867405
40000	18	61200000	68720000	1.7099529416359118
40000	X	33000000	48240000	1.7091479467590134
40000	10	79120000	92280000	1.709045352954327
40000	8	107200000	121560000	1.7084531527858708
40000	14	84960000	93840000	1.7082982687970631
40000	14	45120000	54000000	1.7081583876610662
40000	10	78880000	92040000	1.7078844960811501
40000	14	44640000	53520000	1.7069352505931763
40000	X	85960000	101040000	1.705084805798253
40000	X	84520000	99600000	1.7050552640210386
40000	4	37080000	57920000	1.7031812888935465
40000	2	168600000	192600000	1.7024492915092317
40000	12	101080000	114400000	1.7018928004865852
40000	2	168360000	192360000	1.701694426776838
40000	12	119080000	132400000	1.7014070778880397
40000	8	130480000	144840000	1.7005652538353895
40000	X	78760000	93840000	1.6983166399314318
40000	6	15240000	32160000	1.6935718325719484
40000	18	10600000	23120000	1.6909648653418923
40000	6	56560000	75160000	1.6888394470594743
40000	12	99640000	112960000	1.687371551521762
40000	14	44400000	53280000	1.6869059905710893
40000	2	168120000	192120000	1.6868152576667466
40000	12	101560000	114880000	1.6818435106320313
40000	6	34480000	51360000	1.6764825415273947
40000	14	44880000	53760000	1.6750198790655082
40000	6	55120000	73720000	1.6736318810554014
40000	X	33240000	48480000	1.6720495924969665
40000	18	41040000	48560000	1.6698345181538061
40000	20	24760000	33120000	1.6691169682699327
40000	12	101800000	115120000	1.6684989614095997
40000	2	167880000	191880000	1.668368384052253
40000	10	113680000	126840000	1.6678692937434398
40000	20	15400000	21600000	1.6676096151575344
40000	X	84280000	99360000	1.662323402429018
40000	10	79360000	92520000	1.6622819631361205
40000	10	113920000	127080000	1.6604145328267832
40000	2	168840000	192840000	1.6595332964932759
40000	18	36240000	43760000	1.659325346654903
40000	10	77440000	90600000	1.6573818537357425
40000	18	50400000	57920000	1.6544197076301475
40000	10	114640000	127800000	1.6542906469142604
40000	10	78640000	91800000	1.6516262109881177
40000	18	26880000	34400000	1.6477979025637133
40000	6	54880000	73480000	1.6475089692821563
40000	4	4800000	23720000	1.6463500712232244
40000	6	56800000	75400000	1.6454824388624203
40000	18	61440000	68960000	1.6437690221687202
40000	4	37320000	58160000	1.6431218260606621
40000	18	28080000	35600000	1.6421052302484078
40000	12	101320000	114640000	1.64098437520586
40000	6	54400000	73000000	1.6407624018856006
40000	10	114400000	127560000	1.6405509167108312
40000	8	12360000	26720000	1.6387350516762196
40000	18	43680000	51200000	1.6364259248622262
40000	18	11080000	23600000	1.6355619963939443
40000	X	29400000	44640000	1.6350312024075155
40000	10	79600000	92760000	1.6348888204938037
40000	10	79840000	93000000	1.6338151958368694
40000	6	54640000	73240000	1.63235973140947
40000	X	34440000	49920000	1.6303504357699559
40000	10	113440000	126600000	1.6279813835246166
40000	6	37840000	54720000	1.6245546526516064
40000	20	25000000	33360000	1.6227216859255407
40000	10	114160000	127320000	1.6222847345891191
40000	6	15000000	31920000	1.6210178986532842
40000	6	54160000	72760000	1.6209911083087654
40000	14	44160000	53040000	1.6186944346747423
40000	10	80080000	93240000	1.6180201238839886
40000	18	49680000	57200000	1.6179614477037731
40000	18	60960000	68480000	1.6151716655357127
40000	14	45360000	54240000	1.6140036614309288
40000	6	53440000	72040000	1.6126294276105693
40000	8	110320000	124680000	1.6121862430605465
40000	4	37560000	58400000	1.6108781581077503
40000	12	28560000	41920000	1.610438382360397
40000	2	214200000	238200000	1.6102433659529423
40000	6	34240000	51120000	1.6101681936714929
40000	6	57040000	75640000	1.6080746564731534
40000	10	77680000	90840000	1.6074738268402626
40000	12	27840000	41200000	1.6066656846220597
40000	20	16600000	22800000	1.6061651553720508
40000	2	167640000	191640000	1.6052205543882805
40000	6	33760000	50640000	1.6049384327529241
40000	X	33480000	48720000	1.604807879514323
40000	6	53680000	72280000	1.602744605509086
40000	6	52240000	70840000	1.6026128403778552
40000	14	85440000	94320000	1.6012646753237878
40000	6	53920000	72520000	1.6002478727705636
40000	6	52480000	71080000	1.6001403216254857
40000	4	36360000	57200000	1.600112257616795
40000	2	169080000	193080000	1.5998581937460008
40000	6	34000000	50880000	1.5995091928741996
40000	10	78400000	91560000	1.5992900001775652
40000	8	13800000	28160000	1.5981948907192212
40000	12	28080000	41440000	1.5976153724785347
40000	6	53200000	71800000	1.5972228140953406
40000	18	10360000	22880000	1.5934590204314458
40000	12	27600000	40960000	1.5932102922956781
40000	6	52720000	71320000	1.5909702476694578
40000	6	57280000	75880000	1.5900444985653313
40000	12	28320000	41680000	1.5883199998602515
40000	10	102880000	116040000	1.586207041036097
40000	6	18360000	35280000	1.5852099404049778
40000	18	47280000	54800000	1.5846350894396783
40000	10	103120000	116280000	1.5817024381455047
40000	6	57520000	76120000	1.5809364845478902
40000	18	49440000	56960000	1.5803246896420031
40000	12	102040000	115360000	1.5783882279542516
40000	10	76000000	89160000	1.5770983124288065
40000	10	113200000	126360000	1.5738037810812966
40000	X	34200000	49680000	1.5723393141678255
40000	6	52000000	70600000	1.5720979549376903
40000	2	166200000	190200000	1.5713078938770828
40000	18	50160000	57680000	1.5698340096372465
40000	6	52960000	71560000	1.569675351042475
40000	4	37800000	58640000	1.5693852775728276
40000	2	164760000	188760000	1.5681866069015296
40000	12	28800000	42160000	1.567825253895106
40000	10	80320000	93480000	1.5658040750241107
40000	10	77920000	91080000	1.5617969061969532
40000	10	78160000	91320000	1.5616180450641928
40000	8	14040000	28400000	1.5606941082168768
40000	2	167400000	191400000	1.5606732319125245
40000	2	167160000	191160000	1.5594231744215252
40000	2	165720000	189720000	1.5584182725931008
40000	2	164280000	188280000	1.5580838262290861
40000	X	82360000	97440000	1.557313499709754
40000	X	34680000	50160000	1.55705562605595
40000	10	102160000	115320000	1.5552503809036804
40000	6	57760000	76360000	1.5551854308093194
40000	8	106960000	121320000	1.5519670666865348
40000	12	118120000	131440000	1.5490480051875133
40000	18	50640000	58160000	1.5489228404220412
40000	2	164040000	188040000	1.548658243558945
40000	8	110560000	124920000	1.5481366720941645
40000	2	165000000	189000000	1.5475249582677257
40000	10	102400000	115560000	1.545722909173812
40000	2	165480000	189480000	1.5426718572464635
40000	18	46800000	54320000	1.5422917012970316
40000	4	36120000	56960000	1.541860682830814
40000	2	166920000	190920000	1.541502276872625
40000	6	51760000	70360000	1.540795586476303
40000	2	165240000	189240000	1.5401229879344427
40000	14	84720000	93600000	1.5400548833729815
40000	18	47040000	54560000	1.5396055882238493
40000	18	51120000	58640000	1.5387266962776496
40000	18	11320000	23840000	1.5371849219468467
