Name	ChrNr	Resolution	n	PHI	phi	binNrStart	binNrEnd	START	END	S
G401_BR1	2	40000	500	870	6	0	502	0	20120000	4.36412406300205
G401_BR1	2	40000	500	870	6	6	508	240000	20360000	4.359545601331878
G401_BR1	2	40000	500	870	6	12	514	480000	20600000	4.353762543387603
G401_BR1	2	40000	500	870	6	19	520	760000	20840000	4.344588596891953
G401_BR1	2	40000	500	870	6	25	526	1000000	21080000	4.341467939588804
G401_BR1	2	40000	500	870	6	31	532	1240000	21320000	4.337875254567507
G401_BR1	2	40000	500	870	6	37	538	1480000	21560000	4.340025066886872
G401_BR1	2	40000	500	870	6	43	544	1720000	21800000	4.339913774611513
G401_BR1	2	40000	500	870	6	49	550	1960000	22040000	4.337667948458769
G401_BR1	2	40000	500	870	6	55	556	2200000	22280000	4.332324688228487
G401_BR1	2	40000	500	870	6	61	562	2440000	22520000	4.324999290543822
G401_BR1	2	40000	500	870	6	67	568	2680000	22760000	4.311580295598099
G401_BR1	2	40000	500	870	6	73	574	2920000	23000000	4.296506303172479
G401_BR1	2	40000	500	870	6	79	580	3160000	23240000	4.285860216930356
G401_BR1	2	40000	500	870	6	85	586	3400000	23480000	4.277752510470361
G401_BR1	2	40000	500	870	6	91	592	3640000	23720000	4.270274849721835
G401_BR1	2	40000	500	870	6	97	598	3880000	23960000	4.2752570466747715
G401_BR1	2	40000	500	870	6	103	604	4120000	24200000	4.2879832612415365
G401_BR1	2	40000	500	870	6	109	610	4360000	24440000	4.293825717326286
G401_BR1	2	40000	500	870	6	115	616	4600000	24680000	4.298422565707882
G401_BR1	2	40000	500	870	6	121	623	4840000	24960000	4.289220741813858
G401_BR1	2	40000	500	870	6	127	629	5080000	25200000	4.281523950978229
G401_BR1	2	40000	500	870	6	133	635	5320000	25440000	4.2759075282640495
G401_BR1	2	40000	500	870	6	139	641	5560000	25680000	4.258389687641339
G401_BR1	2	40000	500	870	6	145	648	5800000	25960000	4.235655143128646
G401_BR1	2	40000	500	870	6	151	654	6040000	26200000	4.2073468476375755
G401_BR1	2	40000	500	870	6	157	660	6280000	26440000	4.189348851354263
G401_BR1	2	40000	500	870	6	163	666	6520000	26680000	4.155563466061054
G401_BR1	2	40000	500	870	6	169	672	6760000	26920000	4.124043743333753
G401_BR1	2	40000	500	870	6	175	678	7000000	27160000	4.096609959874676
G401_BR1	2	40000	500	870	6	181	684	7240000	27400000	4.088268657643855
G401_BR1	2	40000	500	870	6	187	690	7480000	27640000	4.078901678000484
G401_BR1	2	40000	500	870	6	193	696	7720000	27880000	4.068354126072951
G401_BR1	2	40000	500	870	6	199	702	7960000	28120000	4.061954219066536
G401_BR1	2	40000	500	870	6	205	708	8200000	28360000	4.047009828106188
G401_BR1	2	40000	500	870	6	211	714	8440000	28600000	4.028506136640515
G401_BR1	2	40000	500	870	6	217	720	8680000	28840000	4.010528641094972
G401_BR1	2	40000	500	870	6	223	726	8920000	29080000	4.0066564187154565
G401_BR1	2	40000	500	870	6	229	732	9160000	29320000	4.001573283750259
G401_BR1	2	40000	500	870	6	235	738	9400000	29560000	4.0093431115204
G401_BR1	2	40000	500	870	6	242	744	9680000	29800000	4.018872554934885
G401_BR1	2	40000	500	870	6	248	750	9920000	30040000	4.020368121641987
G401_BR1	2	40000	500	870	6	255	756	10200000	30280000	4.021308928053106
G401_BR1	2	40000	500	870	6	261	762	10440000	30520000	4.022520365122459
G401_BR1	2	40000	500	870	6	267	768	10680000	30760000	4.016753796421597
G401_BR1	2	40000	500	870	6	273	774	10920000	31000000	4.008643334373566
G401_BR1	2	40000	500	870	6	279	780	11160000	31240000	3.9994989577172646
G401_BR1	2	40000	500	870	6	285	786	11400000	31480000	3.9870206120895366
G401_BR1	2	40000	500	870	6	291	792	11640000	31720000	3.9765395934704424
G401_BR1	2	40000	500	870	6	297	798	11880000	31960000	3.9816119899458116
G401_BR1	2	40000	500	870	6	303	804	12120000	32200000	3.9855574025124225
G401_BR1	2	40000	500	870	6	309	811	12360000	32480000	3.991378032765028
G401_BR1	2	40000	500	870	6	315	818	12600000	32760000	3.994279247358375
G401_BR1	2	40000	500	870	6	321	824	12840000	33000000	4.00800298337614
G401_BR1	2	40000	500	870	6	327	830	13080000	33240000	4.020495394323841
G401_BR1	2	40000	500	870	6	333	836	13320000	33480000	4.0394805837358465
G401_BR1	2	40000	500	870	6	339	842	13560000	33720000	4.056384172275355
G401_BR1	2	40000	500	870	6	345	848	13800000	33960000	4.075985138780688
G401_BR1	2	40000	500	870	6	351	854	14040000	34200000	4.094554416915715
G401_BR1	2	40000	500	870	6	357	860	14280000	34440000	4.101898994166248
G401_BR1	2	40000	500	870	6	363	866	14520000	34680000	4.112389002121787
G401_BR1	2	40000	500	870	6	369	872	14760000	34920000	4.113373686570098
G401_BR1	2	40000	500	870	6	375	878	15000000	35160000	4.115131400584311
G401_BR1	2	40000	500	870	6	381	884	15240000	35400000	4.113703251421797
G401_BR1	2	40000	500	870	6	387	890	15480000	35640000	4.102177255955641
G401_BR1	2	40000	500	870	6	393	896	15720000	35880000	4.106053499758973
G401_BR1	2	40000	500	870	6	399	902	15960000	36120000	4.108640689551389
G401_BR1	2	40000	500	870	6	405	908	16200000	36360000	4.109832795711496
G401_BR1	2	40000	500	870	6	411	914	16440000	36600000	4.115621978873192
G401_BR1	2	40000	500	870	6	417	920	16680000	36840000	4.118505337862143
G401_BR1	2	40000	500	870	6	423	926	16920000	37080000	4.13345084599844
G401_BR1	2	40000	500	870	6	429	932	17160000	37320000	4.146869732814169
G401_BR1	2	40000	500	870	6	435	938	17400000	37560000	4.156225793770918
G401_BR1	2	40000	500	870	6	441	944	17640000	37800000	4.166824924897782
G401_BR1	2	40000	500	870	6	447	950	17880000	38040000	4.17590260047188
G401_BR1	2	40000	500	870	6	453	956	18120000	38280000	4.174500966439119
G401_BR1	2	40000	500	870	6	459	962	18360000	38520000	4.182318318065223
G401_BR1	2	40000	500	870	6	465	969	18600000	38800000	4.2010359209079375
G401_BR1	2	40000	500	870	6	471	976	18840000	39080000	4.217003020856189
G401_BR1	2	40000	500	870	6	477	984	19080000	39400000	4.225112871878492
G401_BR1	2	40000	500	870	6	483	990	19320000	39640000	4.227621360068494
G401_BR1	2	40000	500	870	6	489	996	19560000	39880000	4.253760409454919
G401_BR1	2	40000	500	870	6	495	1002	19800000	40120000	4.2524220446967975
G401_BR1	2	40000	500	870	6	501	1008	20040000	40360000	4.246233529567489
G401_BR1	2	40000	500	870	6	507	1014	20280000	40600000	4.228635676580424
G401_BR1	2	40000	500	870	6	513	1020	20520000	40840000	4.20822231580839
G401_BR1	2	40000	500	870	6	519	1026	20760000	41080000	4.191446060218343
G401_BR1	2	40000	500	870	6	525	1032	21000000	41320000	4.174416131734921
G401_BR1	2	40000	500	870	6	531	1038	21240000	41560000	4.162505487727533
G401_BR1	2	40000	500	870	6	537	1044	21480000	41800000	4.150568909354085
G401_BR1	2	40000	500	870	6	543	1050	21720000	42040000	4.153373024704384
G401_BR1	2	40000	500	870	6	549	1056	21960000	42280000	4.154609975998778
G401_BR1	2	40000	500	870	6	555	1062	22200000	42520000	4.153372886179961
G401_BR1	2	40000	500	870	6	561	1070	22440000	42840000	4.151789683158625
G401_BR1	2	40000	500	870	6	567	1077	22680000	43120000	4.149581531861382
G401_BR1	2	40000	500	870	6	573	1083	22920000	43360000	4.133163852128376
G401_BR1	2	40000	500	870	6	579	1089	23160000	43600000	4.105891688086312
G401_BR1	2	40000	500	870	6	585	1096	23400000	43880000	4.082473370433933
G401_BR1	2	40000	500	870	6	591	1102	23640000	44120000	4.067359562259169
G401_BR1	2	40000	500	870	6	597	1108	23880000	44360000	4.064125513044102
G401_BR1	2	40000	500	870	6	603	1114	24120000	44600000	4.062168804434547
G401_BR1	2	40000	500	870	6	609	1120	24360000	44840000	4.063463557791528
G401_BR1	2	40000	500	870	6	615	1126	24600000	45080000	4.058765426552017
G401_BR1	2	40000	500	870	6	622	1132	24880000	45320000	4.058104378173906
G401_BR1	2	40000	500	870	6	628	1138	25120000	45560000	4.053904230400844
G401_BR1	2	40000	500	870	6	634	1144	25360000	45800000	4.051507973372412
G401_BR1	2	40000	500	870	6	640	1150	25600000	46040000	4.053257350630296
G401_BR1	2	40000	500	870	6	646	1156	25840000	46280000	4.0542936892404375
G401_BR1	2	40000	500	870	6	653	1162	26120000	46520000	4.056776894554002
G401_BR1	2	40000	500	870	6	659	1168	26360000	46760000	4.058233472559497
G401_BR1	2	40000	500	870	6	665	1174	26600000	47000000	4.0590723622809
G401_BR1	2	40000	500	870	6	671	1180	26840000	47240000	4.056559923010704
G401_BR1	2	40000	500	870	6	677	1194	27080000	47800000	4.0602245595371445
G401_BR1	2	40000	500	870	6	683	1200	27320000	48040000	4.069524936986777
G401_BR1	2	40000	500	870	6	689	1206	27560000	48280000	4.078146925417006
G401_BR1	2	40000	500	870	6	695	1212	27800000	48520000	4.087505432289344
G401_BR1	2	40000	500	870	6	701	1218	28040000	48760000	4.103159562827252
G401_BR1	2	40000	500	870	6	707	1224	28280000	49000000	4.1146757276462
G401_BR1	2	40000	500	870	6	713	1230	28520000	49240000	4.120235916990943
G401_BR1	2	40000	500	870	6	719	1237	28760000	49520000	4.123229631377861
G401_BR1	2	40000	500	870	6	725	1243	29000000	49760000	4.12438678311627
G401_BR1	2	40000	500	870	6	731	1249	29240000	50000000	4.129211056112536
G401_BR1	2	40000	500	870	6	737	1255	29480000	50240000	4.133703483913855
G401_BR1	2	40000	500	870	6	743	1261	29720000	50480000	4.127825418805695
G401_BR1	2	40000	500	870	6	749	1267	29960000	50720000	4.127981507406879
G401_BR1	2	40000	500	870	6	755	1273	30200000	50960000	4.130970729163284
G401_BR1	2	40000	500	870	6	761	1279	30440000	51200000	4.13604553796929
G401_BR1	2	40000	500	870	6	767	1285	30680000	51440000	4.1332326637692915
G401_BR1	2	40000	500	870	6	773	1291	30920000	51680000	4.124483835927537
G401_BR1	2	40000	500	870	6	779	1297	31160000	51920000	4.112532631714956
G401_BR1	2	40000	500	870	6	785	1303	31400000	52160000	4.095446397905018
G401_BR1	2	40000	500	870	6	791	1309	31640000	52400000	4.087065842071075
G401_BR1	2	40000	500	870	6	797	1315	31880000	52640000	4.078432181107007
G401_BR1	2	40000	500	870	6	803	1321	32120000	52880000	4.056978697194916
G401_BR1	2	40000	500	870	6	810	1327	32400000	53120000	4.032265147086601
G401_BR1	2	40000	500	870	6	817	1333	32680000	53360000	4.003214064019387
G401_BR1	2	40000	500	870	6	823	1339	32920000	53600000	3.9874415223481448
G401_BR1	2	40000	500	870	6	829	1345	33160000	53840000	3.984532425344615
G401_BR1	2	40000	500	870	6	835	1351	33400000	54080000	3.987193168455848
G401_BR1	2	40000	500	870	6	841	1358	33640000	54360000	3.9942363691208307
G401_BR1	2	40000	500	870	6	847	1364	33880000	54600000	4.011986317511769
G401_BR1	2	40000	500	870	6	853	1370	34120000	54840000	4.021789112980073
G401_BR1	2	40000	500	870	6	859	1376	34360000	55080000	4.028198068445289
G401_BR1	2	40000	500	870	6	865	1382	34600000	55320000	4.032635454918826
G401_BR1	2	40000	500	870	6	871	1388	34840000	55560000	4.035355104922309
G401_BR1	2	40000	500	870	6	877	1394	35080000	55800000	4.0349745397299195
G401_BR1	2	40000	500	870	6	883	1400	35320000	56040000	4.0312546502898945
G401_BR1	2	40000	500	870	6	889	1406	35560000	56280000	4.022748312750124
G401_BR1	2	40000	500	870	6	895	1412	35800000	56520000	4.01324134232423
G401_BR1	2	40000	500	870	6	901	1418	36040000	56760000	4.002764726513874
G401_BR1	2	40000	500	870	6	907	1424	36280000	57000000	3.9842634856464834
G401_BR1	2	40000	500	870	6	913	1430	36520000	57240000	3.9630225252368954
G401_BR1	2	40000	500	870	6	919	1436	36760000	57480000	3.9370486036463435
G401_BR1	2	40000	500	870	6	925	1442	37000000	57720000	3.9144442063598044
G401_BR1	2	40000	500	870	6	931	1448	37240000	57960000	3.908188304102049
G401_BR1	2	40000	500	870	6	937	1454	37480000	58200000	3.908818161056428
G401_BR1	2	40000	500	870	6	943	1460	37720000	58440000	3.893892923447249
