Resolution	ChrNr	Sample1	Sample2	Q
40000	2	G401_BR2	G401_BR1	0.9895411223708838
40000	2	G401_BR2	H1-hESC_BR1	0.4834462262058553
40000	2	G401_BR2	A549_BR2	0.7379669771777091
40000	2	G401_BR2	HFFc6_BR1	0.515714826925564
40000	2	G401_BR2	H1-hESC_BR2	0.5194837539526564
40000	2	G401_BR2	A549_BR1	0.7510397133991953
40000	2	G401_BR2	HFFc6_BR2	0.4633620816458314
40000	2	G401_BR2	HFFc6_BR3	0.418329419708132
40000	2	G401_BR2	LNCap_BR2	0.04619856910938866
40000	2	G401_BR2	LNCap_BR1	0.054978384943390926
40000	2	G401_BR1	H1-hESC_BR1	0.49921424408505105
40000	2	G401_BR1	A549_BR2	0.7447993525763189
40000	2	G401_BR1	HFFc6_BR1	0.5259400345868068
40000	2	G401_BR1	H1-hESC_BR2	0.5337878219246547
40000	2	G401_BR1	A549_BR1	0.7578082024375271
40000	2	G401_BR1	HFFc6_BR2	0.4852636818173396
40000	2	G401_BR1	HFFc6_BR3	0.44684060320421015
40000	2	G401_BR1	LNCap_BR2	0.08868716200830394
40000	2	G401_BR1	LNCap_BR1	0.10096584914752316
40000	2	H1-hESC_BR1	A549_BR2	0.3166363976811163
40000	2	H1-hESC_BR1	HFFc6_BR1	0.5824326540726679
40000	2	H1-hESC_BR1	H1-hESC_BR2	0.960577566376842
40000	2	H1-hESC_BR1	A549_BR1	0.32649926344287117
40000	2	H1-hESC_BR1	HFFc6_BR2	0.7432387983498094
40000	2	H1-hESC_BR1	HFFc6_BR3	0.6974127080058694
40000	2	H1-hESC_BR1	LNCap_BR2	0.47470845206915635
40000	2	H1-hESC_BR1	LNCap_BR1	0.5941630084694979
40000	2	A549_BR2	HFFc6_BR1	0.32972532080145234
40000	2	A549_BR2	H1-hESC_BR2	0.34702299039449697
40000	2	A549_BR2	A549_BR1	0.9887395403136965
40000	2	A549_BR2	HFFc6_BR2	0.36480996476995065
40000	2	A549_BR2	HFFc6_BR3	0.27734779974320073
40000	2	A549_BR2	LNCap_BR2	0.07847564565803664
40000	2	A549_BR2	LNCap_BR1	0.05915030462330699
40000	2	HFFc6_BR1	H1-hESC_BR2	0.6374353676235036
40000	2	HFFc6_BR1	A549_BR1	0.3441933791055792
40000	2	HFFc6_BR1	HFFc6_BR2	0.7637365995596822
40000	2	HFFc6_BR1	HFFc6_BR3	0.798527005385159
40000	2	HFFc6_BR1	LNCap_BR2	0.12671680930125048
40000	2	HFFc6_BR1	LNCap_BR1	0.18855991031221106
40000	2	H1-hESC_BR2	A549_BR1	0.36730011470218443
40000	2	H1-hESC_BR2	HFFc6_BR2	0.7732501555150206
40000	2	H1-hESC_BR2	HFFc6_BR3	0.74023934930908
40000	2	H1-hESC_BR2	LNCap_BR2	0.4770340540834506
40000	2	H1-hESC_BR2	LNCap_BR1	0.595485386552905
40000	2	A549_BR1	HFFc6_BR2	0.3733647824004886
40000	2	A549_BR1	HFFc6_BR3	0.2849219952117233
40000	2	A549_BR1	LNCap_BR2	0.11226692401452838
40000	2	A549_BR1	LNCap_BR1	0.0906360477764208
40000	2	HFFc6_BR2	HFFc6_BR3	0.9160073215108305
40000	2	HFFc6_BR2	LNCap_BR2	0.33995445711402406
40000	2	HFFc6_BR2	LNCap_BR1	0.5021479308671231
40000	2	HFFc6_BR3	LNCap_BR2	0.24378901504817457
40000	2	HFFc6_BR3	LNCap_BR1	0.43099345367101655
40000	2	LNCap_BR2	LNCap_BR1	0.9497148332656256
40000	4	G401_BR2	G401_BR1	0.9847448543376598
40000	4	G401_BR2	H1-hESC_BR1	0.5763861558685744
40000	4	G401_BR2	A549_BR2	0.5580033876223122
40000	4	G401_BR2	HFFc6_BR1	0.7142668785147318
40000	4	G401_BR2	H1-hESC_BR2	0.568820729251494
40000	4	G401_BR2	A549_BR1	0.5653885987103368
40000	4	G401_BR2	HFFc6_BR2	0.775485522356016
40000	4	G401_BR2	HFFc6_BR3	0.6416292248326235
40000	4	G401_BR2	LNCap_BR2	0.5832748281426724
40000	4	G401_BR2	LNCap_BR1	0.5343522988305764
40000	4	G401_BR1	H1-hESC_BR1	0.582930001723492
40000	4	G401_BR1	A549_BR2	0.5699649542903602
40000	4	G401_BR1	HFFc6_BR1	0.7418807902521328
40000	4	G401_BR1	H1-hESC_BR2	0.580030265514775
40000	4	G401_BR1	A549_BR1	0.5946776399860229
40000	4	G401_BR1	HFFc6_BR2	0.7524915579955391
40000	4	G401_BR1	HFFc6_BR3	0.646644412259326
40000	4	G401_BR1	LNCap_BR2	0.5734294074860218
40000	4	G401_BR1	LNCap_BR1	0.5339678348500322
40000	4	H1-hESC_BR1	A549_BR2	0.44598819163094533
40000	4	H1-hESC_BR1	HFFc6_BR1	0.6540621905784008
40000	4	H1-hESC_BR1	H1-hESC_BR2	0.9080041470075187
40000	4	H1-hESC_BR1	A549_BR1	0.48671878919180916
40000	4	H1-hESC_BR1	HFFc6_BR2	0.5042740605055523
40000	4	H1-hESC_BR1	HFFc6_BR3	0.6388011523500944
40000	4	H1-hESC_BR1	LNCap_BR2	0.4612138506278791
40000	4	H1-hESC_BR1	LNCap_BR1	0.3619156323021034
40000	4	A549_BR2	HFFc6_BR1	0.4520171651424246
40000	4	A549_BR2	H1-hESC_BR2	0.2861742624384551
40000	4	A549_BR2	A549_BR1	0.9769265120536532
40000	4	A549_BR2	HFFc6_BR2	0.45911089796249693
40000	4	A549_BR2	HFFc6_BR3	0.342907319367759
40000	4	A549_BR2	LNCap_BR2	0.5827549356958135
40000	4	A549_BR2	LNCap_BR1	0.6127593851251123
40000	4	HFFc6_BR1	H1-hESC_BR2	0.6376791153690785
40000	4	HFFc6_BR1	A549_BR1	0.49304401206781057
40000	4	HFFc6_BR1	HFFc6_BR2	0.6560840007263814
40000	4	HFFc6_BR1	HFFc6_BR3	0.8701559603930592
40000	4	HFFc6_BR1	LNCap_BR2	0.5495881984985073
40000	4	HFFc6_BR1	LNCap_BR1	0.48991359464060624
40000	4	H1-hESC_BR2	A549_BR1	0.34554781324688044
40000	4	H1-hESC_BR2	HFFc6_BR2	0.44686673797213655
40000	4	H1-hESC_BR2	HFFc6_BR3	0.5709155567309179
