Resolution	ChrNr	Sample1	Sample2	Q
40000	6	G401_BR1	G401_BR2	0.9563799892971434
40000	6	G401_BR1	A549_BR1	0.5417051897060811
40000	6	G401_BR1	LNCap_BR1	0.37639712681415094
40000	6	G401_BR1	HFFc6_BR2	0.43918086696523034
40000	6	G401_BR1	A549_BR2	0.5050454549528834
40000	6	G401_BR1	HFFc6_BR3	-0.18943474443926092
40000	6	G401_BR1	H1-hESC_BR1	0.5691383467698937
40000	6	G401_BR1	HFFc6_BR1	-0.08101561847548419
40000	6	G401_BR1	H1-hESC_BR2	0.4844518496416074
40000	6	G401_BR1	LNCap_BR2	0.25155154430750704
40000	6	G401_BR2	A549_BR1	0.524268145435109
40000	6	G401_BR2	LNCap_BR1	0.46511802034481603
40000	6	G401_BR2	HFFc6_BR2	0.401354437716172
40000	6	G401_BR2	A549_BR2	0.5229447038783274
40000	6	G401_BR2	HFFc6_BR3	-0.05838475601476394
40000	6	G401_BR2	H1-hESC_BR1	0.5529374074054549
40000	6	G401_BR2	HFFc6_BR1	0.0008752668027872013
40000	6	G401_BR2	H1-hESC_BR2	0.4943742620815913
40000	6	G401_BR2	LNCap_BR2	0.37309333321976357
40000	6	A549_BR1	LNCap_BR1	0.7785237262909257
40000	6	A549_BR1	HFFc6_BR2	0.10496367829055708
40000	6	A549_BR1	A549_BR2	0.9846841263638693
40000	6	A549_BR1	HFFc6_BR3	-0.500469377715527
40000	6	A549_BR1	H1-hESC_BR1	0.15918725751715151
40000	6	A549_BR1	HFFc6_BR1	-0.6206355031608333
40000	6	A549_BR1	H1-hESC_BR2	-0.03730506207560853
40000	6	A549_BR1	LNCap_BR2	0.6936013348413133
40000	6	LNCap_BR1	HFFc6_BR2	0.13019486486329404
40000	6	LNCap_BR1	A549_BR2	0.8300043560463738
40000	6	LNCap_BR1	HFFc6_BR3	-0.2270746192639159
40000	6	LNCap_BR1	H1-hESC_BR1	0.09967337569341687
40000	6	LNCap_BR1	HFFc6_BR1	-0.42137352582357235
40000	6	LNCap_BR1	H1-hESC_BR2	-0.05253470200745038
40000	6	LNCap_BR1	LNCap_BR2	0.9747390891325505
40000	6	HFFc6_BR2	A549_BR2	0.09597462442471313
40000	6	HFFc6_BR2	HFFc6_BR3	0.4578288204285171
