Resolution	ChrNr	Sample1	Sample2	Q
40000	20	HFFc6	A549	0.6907924932226951
40000	20	HFFc6	G401	0.6656582844699237
40000	20	HFFc6	LNCap	0.44002087390562744
40000	20	HFFc6	H1-hESC	0.6893058144281632
40000	20	A549	G401	0.697926328956668
40000	20	A549	LNCap	0.6778243581481502
40000	20	A549	H1-hESC	0.7502868031942603
40000	20	G401	LNCap	0.2633574433551032
40000	20	G401	H1-hESC	0.433390530970327
40000	20	LNCap	H1-hESC	0.8150625614140137
40000	21	HFFc6	A549	0.7269449351021033
40000	21	HFFc6	G401	0.6920907488594513
40000	21	HFFc6	LNCap	0.7229597663017443
40000	21	HFFc6	H1-hESC	0.7666628983767835
40000	21	A549	G401	0.7214632459344309
40000	21	A549	LNCap	0.6749093894725167
40000	21	A549	H1-hESC	0.7013005952435267
40000	21	G401	LNCap	0.7191588938021131
40000	21	G401	H1-hESC	0.715612374596809
40000	21	LNCap	H1-hESC	0.925296854916949
40000	22	HFFc6	A549	0.8982044673729582
40000	22	HFFc6	G401	0.9107803773859556
40000	22	HFFc6	LNCap	0.7468769678438354
40000	22	HFFc6	H1-hESC	0.8450740847457054
40000	22	A549	G401	0.9232701892658065
40000	22	A549	LNCap	0.9190840770878228
40000	22	A549	H1-hESC	0.9263638649687724
40000	22	G401	LNCap	0.8525333499027535
40000	22	G401	H1-hESC	0.88068037602435
40000	22	LNCap	H1-hESC	0.8969419862519157
100000	20	HFFc6	A549	0.5197619093826795
100000	20	HFFc6	G401	0.5610575112394632
100000	20	HFFc6	LNCap	0.37582692114402955
100000	20	HFFc6	H1-hESC	0.6113995069720282
100000	20	A549	G401	0.8881769655548908
100000	20	A549	LNCap	0.7908650527112296
100000	20	A549	H1-hESC	0.694740934782271
100000	20	G401	LNCap	0.6887797177941214
100000	20	G401	H1-hESC	0.570713806676288
100000	20	LNCap	H1-hESC	0.6633069543943881
100000	21	HFFc6	A549	0.6677575744109714
100000	21	HFFc6	G401	0.6673294425556964
100000	21	HFFc6	LNCap	0.6673025578200298
100000	21	HFFc6	H1-hESC	0.7205085831358514
100000	21	A549	G401	0.7753074753902268
100000	21	A549	LNCap	0.7063955593572756
100000	21	A549	H1-hESC	0.7133117541638334
100000	21	G401	LNCap	0.7576515666557462
100000	21	G401	H1-hESC	0.7249886620189626
100000	21	LNCap	H1-hESC	0.9041327039336838
100000	22	HFFc6	A549	0.47680625645642083
100000	22	HFFc6	G401	0.5341166983865336
100000	22	HFFc6	LNCap	0.3378482506086664
100000	22	HFFc6	H1-hESC	0.7167276022909792
100000	22	A549	G401	0.9379090886581717
100000	22	A549	LNCap	0.9418270068884114
100000	22	A549	H1-hESC	0.7000915754532349
100000	22	G401	LNCap	0.876102899578609
100000	22	G401	H1-hESC	0.6862630639979768
100000	22	LNCap	H1-hESC	0.668716665624692
