Resolution	ChrNr	Sample1	Sample2	Q
40000	20	HFFc6	LNCap	0.3310786728976622
40000	20	HFFc6	A549	0.662235151156677
40000	20	HFFc6	G401	0.6799402128855337
40000	20	HFFc6	H1-hESC	0.7435216404815566
40000	20	LNCap	A549	0.5473977668591112
40000	20	LNCap	G401	0.44951922940914335
40000	20	LNCap	H1-hESC	0.5228164877154722
40000	20	A549	G401	0.7526400972430543
40000	20	A549	H1-hESC	0.6011807961310272
40000	20	G401	H1-hESC	0.40047695029911207
40000	21	HFFc6	LNCap	0.5318580991116417
40000	21	HFFc6	A549	0.5310805668161642
40000	21	HFFc6	G401	0.553298059996608
40000	21	HFFc6	H1-hESC	0.5982665718436204
40000	21	LNCap	A549	0.6069548660508749
40000	21	LNCap	G401	0.7013724588221519
40000	21	LNCap	H1-hESC	0.8097942084313677
40000	21	A549	G401	0.7250409129726768
40000	21	A549	H1-hESC	0.6857707812021506
40000	21	G401	H1-hESC	0.6261882473732187
40000	22	HFFc6	LNCap	0.34850442845962376
40000	22	HFFc6	A549	0.7089975004377865
40000	22	HFFc6	G401	0.6785730773003784
40000	22	HFFc6	H1-hESC	0.7301139558537244
40000	22	LNCap	A549	0.7874990149374355
40000	22	LNCap	G401	0.5865164600694257
40000	22	LNCap	H1-hESC	0.5324054067534635
40000	22	A549	G401	0.6865339304550128
40000	22	A549	H1-hESC	0.7599129878321986
40000	22	G401	H1-hESC	0.7109008346764872
100000	20	HFFc6	LNCap	0.28341233112205455
100000	20	HFFc6	A549	0.5862703418432635
100000	20	HFFc6	G401	0.6381580828582996
100000	20	HFFc6	H1-hESC	0.7453516515527823
100000	20	LNCap	A549	0.6791727645849425
100000	20	LNCap	G401	0.5815516108845724
100000	20	LNCap	H1-hESC	0.4311146986383901
100000	20	A549	G401	0.7433269431402222
100000	20	A549	H1-hESC	0.546079410941438
100000	20	G401	H1-hESC	0.4293554523037797
100000	21	HFFc6	LNCap	0.4731165134872097
100000	21	HFFc6	A549	0.5641424621054495
100000	21	HFFc6	G401	0.5662649285890863
100000	21	HFFc6	H1-hESC	0.60811870494244
100000	21	LNCap	A549	0.6474117932640485
100000	21	LNCap	G401	0.6936768131299966
100000	21	LNCap	H1-hESC	0.7136956979633058
100000	21	A549	G401	0.761045689137179
100000	21	A549	H1-hESC	0.6773737395506213
100000	21	G401	H1-hESC	0.6238214507426044
100000	22	HFFc6	LNCap	0.29679066336526
100000	22	HFFc6	A549	0.7154698486489339
100000	22	HFFc6	G401	0.5720278310601757
100000	22	HFFc6	H1-hESC	0.7396203941909301
100000	22	LNCap	A549	0.7795256332963441
100000	22	LNCap	G401	0.6685904590768683
100000	22	LNCap	H1-hESC	0.4585019104804765
100000	22	A549	G401	0.7490759920112424
100000	22	A549	H1-hESC	0.7560812570936812
100000	22	G401	H1-hESC	0.6778722399930546
